family,true_eig_err
graph_delta,0.0846175474571412
graph_diffusion,1.1932671044216874
graph_diffusion,1.19309686132453
graph_diffusion,1.1933146114365467
graph_diffusion,0.9043771162119426
graph_diffusion,0.2863728027228425
graph_diffusion,0.5867403055993702
graph_diffusion,0.4262843331121486
graph_diffusion,0.1016073208930764
graph_diffusion,0.0885889208546813
graph_diffusion,0.0827053851098462
graph_diffusion,0.082841271969093
graph_diffusion,0.0838096654300748
graph_resolvent,0.676217269793582
graph_resolvent,0.8642479773430456
graph_resolvent,0.8925359730994784
graph_resolvent,0.7332186644509081
graph_resolvent,0.6754777074400824
graph_resolvent,0.6754620158598384
graph_resolvent,0.6186238757122906
graph_resolvent,0.6184173674636312
graph_resolvent,0.6149991903035137
graph_resolvent,0.5940632955279772
graph_resolvent,0.3788884912103031
graph_delta,0.0846175474571412
graph_diffusion,1.1932671044216874
graph_diffusion,1.19309686132453
graph_diffusion,1.1933146114365467
graph_diffusion,0.9043771162119426
graph_diffusion,0.5867403055993702
graph_diffusion,0.4262843331121486
graph_diffusion,0.2863728027228425
graph_diffusion,0.1016073208930764
graph_diffusion,0.0885889208546813
graph_diffusion,0.0838096654300748
graph_diffusion,0.082841271969093
graph_diffusion,0.0827053851098462
graph_resolvent,0.7332186644509081
graph_resolvent,0.8925359730994784
graph_resolvent,0.6754620158598384
graph_resolvent,0.676217269793582
graph_resolvent,0.8642479773430456
graph_resolvent,0.6186238757122906
graph_resolvent,0.6184173674636312
graph_resolvent,0.6149991903035137
graph_resolvent,0.5940632955279772
graph_resolvent,0.3788884912103031
graph_resolvent,0.6754777074400824
graph_delta,0.0923773921139271
graph_diffusion,1.213318055128055
graph_diffusion,1.2132906746583536
graph_diffusion,1.212758111230312
graph_diffusion,0.6050806954767133
graph_diffusion,0.5607723823643526
graph_diffusion,0.1710705796507315
graph_diffusion,0.1346547417831268
graph_diffusion,0.3669109459070837
graph_diffusion,0.0937347496451059
graph_diffusion,0.0927855481729065
graph_diffusion,0.0924836824746436
graph_diffusion,0.0956441566498523
graph_resolvent,1.0781752359301335
graph_resolvent,0.6133234924544483
graph_resolvent,0.61331047499715
graph_resolvent,0.6132794763523578
graph_resolvent,0.6133225347412536
graph_resolvent,0.6133199530319601
graph_resolvent,0.6131256138970065
graph_resolvent,0.6122885591765667
graph_resolvent,0.6052431575974572
graph_resolvent,0.5723120634702586
graph_resolvent,0.3201276539776172
graph_delta,0.0923773921139271
graph_diffusion,1.213318055128055
