family,system,kind,kind_n,kernel,method,score_v1,rank_v1,agg_bias_mean,agg_dist_mean,agg_spurious_mean,agg_trunc_mean,agg_bias_std,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,agg_horizon_instab,agg_horizon_sens,sc,vamp2,v2_fam,admissible_v2_fam,violations_v2_fam,rank_v2_fam,v2_pooled,admissible_v2_pooled,violations_v2_pooled,rank_v2_pooled,v3_fam,admissible_v3_fam,violations_v3_fam,rank_v3_fam,v3_pooled,admissible_v3_pooled,violations_v3_pooled,rank_v3_pooled,true_eig_err,agg_koopman_gap,old_gap,admissible_old_gap,rank_old_gap,corrected_gap_lb,admissible_corrected_gap_lb,rank_corrected_gap_lb,corrected_gap_sb,admissible_corrected_gap_sb,rank_corrected_gap_sb,both_gaps,admissible_both_gaps,rank_both_gaps,corrected_gap_sb_pooled,admissible_corrected_gap_sb_pooled,rank_corrected_gap_sb_pooled
hermite,duffing,omega=0.5,omega=0.5,hermite(good),PCR,-1.403497178026742,13.0,1.6493604364679966e-06,68.70629323511676,0.0691472969209842,3.592656001934973e-08,6.22123903223733e-07,0.0141196073141351,,3.5,0.0002029082864628,0.0,0.0031019737965358,-0.992735759529644,2.999999999999924,-0.9205360711823496,True,,2,-1.563564551159548,True,,16,-2.008781482793406,True,,1,-1.804710352903261,True,,16,,0.0003891087209968231,-2.008781482793406,True,1,-1.9079657700608372,True,1,-1.1095971955259762,True,2,-1.9583736264271216,True,1,-1.9458546344105827,True,16
hermite,duffing,omega=0.5,omega=0.5,hermite(ugly),PCR,-3.701825507001848,6.0,0.0,10.491186656738636,0.1749181012805512,0.0,0.0,0.0272581198405085,,1.0,,0.0,0.0046307869547764,-0.1692971918433142,1.0000100361549296,-2.3573979082633683,True,,1,-8.071741578830313,True,,1,-0.611670847872727,True,,2,-6.140550455315635,True,,4,,0.0,-0.611670847872727,True,2,0.09338042229754129,True,2,-1.3167221180429953,True,1,-0.25914521278759284,True,2,-6.228498246565859,True,3
hermite,duffing,omega=0.5,omega=0.5,hermite(bad),PCR,-1.191985783318226,20.0,0.0278649356220454,11.023333194383136,0.0748432353113405,0.0031074557916253,0.0109925612486073,0.01768126942363,,3.5,0.0001596041834322,3.722674913886337e-07,0.0039924127034796,-0.8387589539214296,3.0000000000002065,3.277933979445713,True,,3,0.1738027425683386,True,,60,2.620452330666129,True,,3,0.0153718719391563,True,,65,,0.00035622572180013534,2.620452330666129,True,3,1.8145853477632907,True,3,2.4263193135689662,True,3,2.2175188392147094,True,3,-0.1258947146908247,True,62
linear,duffing,omega=0.5,omega=0.5,linear,PCR,0.6097604727420262,9.0,0.0,7.801958753247092,0.304177224695502,0.0,0.0,0.0158986448429441,,4.6,0.0,0.0,0.0541616683729032,-1.0107171894756124,1.9999999999999856,0.0,True,,1,-3.715751098458109,True,,5,0.0,True,,1,-3.10155538869996,True,,8,,0.21430307976485072,0.0,True,1,0.0,True,1,0.0,True,1,0.0,True,1,-2.7627244848023076,True,11
poly,duffing,omega=0.5,omega=0.5,poly(p=1),PCR,-4.423913374237694,9.0,0.0,9.47816205606934,0.0590050161288939,0.0,0.0,0.0047796874054318,,3.6,0.0002903488289777,0.0,0.0088800088446543,-0.8400144838685107,2.9999999999999485,-8.059628637136337,True,,1,-6.931688271154862,True,,4,-8.734543365704077,True,,1,-7.090793600983537,True,,2,,0.012638214939328134,-8.734543365704077,True,1,-8.609103473686524,True,1,-9.535763044966334,True,1,-8.6718234196953,True,1,-7.204342705314257,True,2
poly,duffing,omega=0.5,omega=0.5,poly(p=2),PCR,-2.1107637718862065,14.0,0.0902202867208627,9.96074942144154,0.0732981550694616,0.0110505416743142,0.0342914696728988,0.013120027972255,,4.0,0.0002725181468724,1.5756108198150542e-06,0.0341136500204314,0.0712053784335061,3.000000000000325,2.2416509023988187,True,,3,0.8881315542748304,True,,95,1.6720188383454435,True,,2,1.2185251969891693,True,,95,,0.013089899425394975,1.6720188383454435,True,2,1.5650543397194834,True,2,0.8615922039234813,True,2,1.6185365890324637,True,2,1.105970086307658,True,95
poly,duffing,omega=0.5,omega=0.5,poly(p=3),PCR,-0.9526671202994966,15.0,0.2983687920285242,8.66287975804925,0.0852410436864853,0.0401596396875258,0.1080220184918732,0.0148696708836764,,4.0,0.0003365481065893,1.7909139600980062e-05,0.0335036053499622,2.9369187213923578,3.0000000000004925,2.159875085022582,True,,2,1.2289547411194546,True,,101,2.1804796974675664,True,,3,3.0987833709489334,True,,117,,0.014520246170412952,2.1804796974675664,True,3,2.15392919901338,True,3,2.157265138397189,True,3,2.167204448240473,True,3,2.9895108532157497,True,117
poly,duffing,omega=0.5,omega=0.5,poly(p=4),PCR,1.3416965264312646,33.0,0.7549925504710789,7.687149362472814,0.1012389042146268,0.1122735181608188,0.2766658222216167,0.0163230684998032,,4.0,0.0004614677951087,4.948414583894056e-05,0.0574336949097477,10.671824437462064,3.000000000002475,3.658102649714936,True,,4,1.5732951116129166,True,,105,4.881818503801358,True,,4,7.5982443192237055,True,,123,,0.01780562039420364,4.881818503801358,True,4,4.88989360886395,True,4,6.516679376555958,True,4,4.885856056332655,True,4,7.496486811028171,True,122
rbf,duffing,omega=0.5,omega=0.5,rbf(gamma=0.28078368544787685),PCR,-6.058417375569721,2.0,0.0545677424962467,10.156069989701098,0.048393984350826,0.0053729191066605,,,,2.0,0.0002592197340202,9.934690495150278e-06,0.0,-1.0370851702015889,3.000000000000286,-6.878740329442685,True,,2,-3.1944827462232355,True,,7,-5.80427373816574,True,,2,-3.4594526455917105,True,,6,,0.008748730705826619,-5.804261809734389,True,2,-5.491243350158848,True,2,-6.3620286270845705,True,2,-5.647752579946618,True,2,-3.5817678706754448,True,6
rbf,duffing,omega=0.5,omega=0.5,rbf(gamma=0.14039184272393843),PCR,-5.93831700321048,3.0,0.0176513176741986,10.628935482621896,0.0503722007601147,0.0016606853718378,,,,2.0,0.0002201031470249,1.9434892695180395e-06,0.0,-1.0188542876607147,3.0000000000002043,-7.779800460039607,True,,1,-3.3803242833594247,True,,6,-6.428163936959336,True,,1,-3.635500719435916,True,,5,,0.009877854538370192,-6.428143501429657,True,1,-6.2800430120099815,True,1,-6.930826547970167,True,1,-6.3540932567198185,True,1,-3.7553250428008638,True,5
rbf,duffing,omega=0.5,omega=0.5,rbf(gamma=0.5615673708957537),PCR,-6.230624947373974,1.0,0.1578578376870755,10.113425291652849,0.0480739412939012,0.0156087411667898,,,,2.0,0.0003650845365597,3.859415300089264e-05,0.0,-1.0717774062106011,3.0000000000003,-5.311852312200273,True,,3,-3.0002935205297505,True,,8,-4.479130847044396,True,,3,-3.2838997716550367,True,,7,,0.007240426123642347,-4.479120398108406,True,3,-3.870533555781955,True,5,-5.0352012434963385,True,3,-4.17482697694518,True,3,-3.409482359394522,True,7
rbf,duffing,omega=0.5,omega=0.5,rbf(gamma=0.21680657643565548),PCR,-2.7936362922371383,57.0,0.0370088761756335,10.196925683491386,0.061006000660759,0.0036294151123951,,,,4.0,6.620797343170892e-05,5.465198551490857e-07,0.0,-1.0288529461892646,3.00000000000026,-4.579916743583914,True,,6,-1.24277353453642,True,,21,-3.401922291702806,True,,6,-1.5033211584887072,True,,20,,0.011324127442834186,-3.401907635451882,True,6,-3.6107637760090334,True,6,-3.979751332004299,True,6,-3.5063357057304576,True,6,-1.6200711504606773,True,20
rbf,duffing,omega=0.5,omega=0.5,rbf(gamma=0.10840328821782774),PCR,-2.7311988852387707,67.0,0.0123687806654385,10.855616128275862,0.0608960828494145,0.0011393900188881,,,,4.0,4.4355326758949154e-05,0.0,0.0,-1.0146140824284915,3.0000000000002545,-5.194495866629863,True,,4,-1.4342815624641263,True,,17,-3.918299291409174,True,,4,-1.687180199086968,True,,17,,0.012166096150163593,-3.9182840803474894,True,4,-4.239845695257587,True,3,-4.44478164228655,True,4,-4.07906488780254,True,4,-1.8020645756819502,True,17
rbf,duffing,omega=0.5,omega=0.5,rbf(gamma=0.11903475762915991),PCR,-2.48696160703776,99.0,0.0144171953002442,10.654921069445756,0.0709534792428249,0.0013531020273427,,,,4.0,3.889328425099592e-06,0.0,0.0,-1.0160269336521155,3.000000000000296,-4.916562786021036,True,,5,-1.3360352299116354,True,,18,-3.7334535923805072,True,,5,-1.589692837284529,True,,19,,0.011124286823591449,-3.733442727336447,True,5,-4.010321360626173,True,4,-4.418246438691088,True,5,-3.8718820439813104,True,5,-1.7069612181201068,True,19
rbf,duffing,omega=0.5,omega=0.5,rbf(gamma=0.2624337080999149),PCR,-2.7328842985821407,66.0,0.0427853464381119,11.154238763412692,0.0754594123079314,0.0038357925937943,,,,4.0,0.0002301855247873,4.126287083794367e-06,0.0,-1.0347367972687191,3.000000000000312,-2.908837569121484,True,,8,-1.0917682923587098,True,,22,-1.872036389615424,True,,8,-1.3554766672748266,True,,22,,0.010600539761202763,-1.8729251946571157,True,8,-1.7810747496149182,True,9,-2.2910482144289905,True,9,-1.8269999721360168,True,8,-1.4736673894530512,True,22
