system,kind,family,kernel,trial,sc,vamp2
langevin,all,rbf,rbf(gamma=0.4268),0,-1.2278583590770034,3.000000000000025
langevin,all,rbf,rbf(gamma=0.4082),0,-1.2218536763574734,3.0000000000001625
langevin,all,rbf,rbf(gamma=0.4214),0,-1.2261381048125397,3.0000000000002744
langevin,all,rbf,rbf(gamma=0.8164),0,-1.3158678667589763,3.000000000000239
langevin,all,rbf,rbf(gamma=0.8429),0,-1.3199887589935564,3.0000000000000395
langevin,all,rbf,rbf(gamma=0.4834),0,-1.244828372792589,3.0000000000002234
langevin,all,rbf,rbf(gamma=0.4374),0,-1.2311817678052257,3.0000000000001252
langevin,all,rbf,rbf(gamma=0.4212),0,-1.2260740339402063,3.000000000000157
langevin,all,rbf,rbf(gamma=0.3991),0,-1.2188327364997016,3.0000000000002087
langevin,all,rbf,rbf(gamma=0.7981),0,-1.3129185565397805,3.000000000000034
langevin,all,rbf,rbf(gamma=0.7533),0,-1.305318812262132,3.000000000000151
langevin,all,rbf,rbf(gamma=1.507),0,-1.384115670458835,3.0000000000003477
langevin,all,rbf,rbf(gamma=1.685),0,-1.3931850000462536,3.0000000000004037
langevin,all,rbf,rbf(gamma=1.633),0,-1.3907705489352282,3.0000000000003286
langevin,all,rbf,rbf(gamma=1.583),0,-1.3882720681630247,3.0000000000008153
langevin,all,rbf,rbf(gamma=0.7917),0,-1.3118664357695273,3.0000000000000533
langevin,all,rbf,rbf(gamma=3.37),0,-1.4144127583737445,3.0000000000003078
langevin,all,rbf,rbf(gamma=1.686),0,-1.39322967219835,3.000000000000389
langevin,all,rbf,rbf(gamma=0.3959),0,-1.2177570689929955,2.999999999999874
langevin,all,rbf,rbf(gamma=0.7952),0,-1.3124431605737956,3.000000000000195
langevin,all,rbf,rbf(gamma=0.8424),0,-1.319912600389392,3.0000000000002274
langevin,all,rbf,rbf(gamma=0.8537),0,-1.321619186109854,3.0000000000002474
langevin,all,rbf,rbf(gamma=0.3976),0,-1.2183293913466762,3.0000000000000577
