kernel,kind,omega,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
hermite(good),omega=0.5,0.5,Principal Components (kDMD),1,,4,0.01273837924589949,5
hermite(bad),omega=0.5,0.5,Principal Components (kDMD),1,,4,0.01380131019082187,5
hermite(ugly),omega=0.5,0.5,Principal Components (kDMD),1,,5,0.9116891013394147,5
hermite(good),omega=0.5,0.5,Principal Components (kDMD),2,,4,0.015585794937091668,5
hermite(bad),omega=0.5,0.5,Principal Components (kDMD),2,,4,0.01593142404200798,5
hermite(ugly),omega=0.5,0.5,Principal Components (kDMD),2,,1,0.9248840936264046,5
hermite(good),omega=0.5,0.5,Principal Components (kDMD),3,,4,0.014687761593638715,5
hermite(bad),omega=0.5,0.5,Principal Components (kDMD),3,,4,0.015718848081639702,5
hermite(ugly),omega=0.5,0.5,Principal Components (kDMD),3,,5,0.9170949298408139,5
hermite(good),omega=0.5,0.5,Principal Components (kDMD),4,,4,0.00717821925626172,5
hermite(bad),omega=0.5,0.5,Principal Components (kDMD),4,,4,0.00963964378575688,5
hermite(ugly),omega=0.5,0.5,Principal Components (kDMD),4,,4,0.9077994716358248,5
hermite(good),omega=0.5,0.5,Principal Components (kDMD),5,,4,0.007029750627847053,5
hermite(bad),omega=0.5,0.5,Principal Components (kDMD),5,,4,0.009339941118716943,5
hermite(ugly),omega=0.5,0.5,Principal Components (kDMD),5,,4,0.9128458331303042,5
hermite(good),omega=0.5,0.5,Principal Components (kDMD),6,,4,0.008036475611047589,5
hermite(bad),omega=0.5,0.5,Principal Components (kDMD),6,,4,0.00965921824710858,5
hermite(ugly),omega=0.5,0.5,Principal Components (kDMD),6,,4,0.9136699101103135,5
hermite(good),omega=0.5,0.5,Principal Components (kDMD),7,,4,0.008248559053226412,5
hermite(bad),omega=0.5,0.5,Principal Components (kDMD),7,,5,0.010743067427029018,5
hermite(ugly),omega=0.5,0.5,Principal Components (kDMD),7,,1,0.9181543955761724,5
hermite(good),omega=0.5,0.5,Principal Components (kDMD),8,,4,0.012819284332296843,5
hermite(bad),omega=0.5,0.5,Principal Components (kDMD),8,,5,0.013734802512533673,5
hermite(ugly),omega=0.5,0.5,Principal Components (kDMD),8,,3,0.923136693832338,5
hermite(good),omega=0.5,0.5,Principal Components (kDMD),9,,4,0.009271166824766364,5
hermite(bad),omega=0.5,0.5,Principal Components (kDMD),9,,5,0.01038696037169995,5
hermite(ugly),omega=0.5,0.5,Principal Components (kDMD),9,,3,0.9173008158332749,5
hermite(good),omega=0.5,0.5,Reduced Rank,0,,4,0.007662999579597929,5
hermite(bad),omega=0.5,0.5,Reduced Rank,0,,5,0.008770399363237313,5
hermite(ugly),omega=0.5,0.5,Reduced Rank,0,,3,0.9065603881595841,5
hermite(good),omega=0.5,0.5,Reduced Rank,1,,4,0.012713817056728027,5
hermite(bad),omega=0.5,0.5,Reduced Rank,1,,4,0.013284097004065187,5
hermite(ugly),omega=0.5,0.5,Reduced Rank,1,,0,0.9117336237805469,4
hermite(good),omega=0.5,0.5,Reduced Rank,2,,4,0.015581617660706093,5
hermite(bad),omega=0.5,0.5,Reduced Rank,2,,4,0.015755163441578346,5
hermite(ugly),omega=0.5,0.5,Reduced Rank,2,,2,0.9248860320813919,3
hermite(good),omega=0.5,0.5,Reduced Rank,3,,4,0.014666516112984973,5
hermite(bad),omega=0.5,0.5,Reduced Rank,3,,4,0.015358267972060191,5
hermite(ugly),omega=0.5,0.5,Reduced Rank,3,,2,0.9171294494191283,3
hermite(good),omega=0.5,0.5,Reduced Rank,4,,4,0.007141787826897783,5
hermite(bad),omega=0.5,0.5,Reduced Rank,4,,4,0.008539668725636607,5
hermite(ugly),omega=0.5,0.5,Reduced Rank,4,,1,0.9078074190929041,5
hermite(good),omega=0.5,0.5,Reduced Rank,5,,4,0.006807100050177151,5
hermite(bad),omega=0.5,0.5,Reduced Rank,5,,4,0.00803631953570727,5
hermite(ugly),omega=0.5,0.5,Reduced Rank,5,,4,0.9128998036045822,5
hermite(good),omega=0.5,0.5,Reduced Rank,6,,4,0.007938870036353296,5
hermite(bad),omega=0.5,0.5,Reduced Rank,6,,4,0.00905140780708058,5
hermite(ugly),omega=0.5,0.5,Reduced Rank,6,,1,0.9136846295025309,5
hermite(good),omega=0.5,0.5,Reduced Rank,7,,4,0.008239950386496386,5
hermite(bad),omega=0.5,0.5,Reduced Rank,7,,5,0.00962632936358998,5
hermite(ugly),omega=0.5,0.5,Reduced Rank,7,,0,0.9181598649692493,3
hermite(good),omega=0.5,0.5,Reduced Rank,8,,4,0.01265771433500229,5
hermite(bad),omega=0.5,0.5,Reduced Rank,8,,5,0.013319790798411058,5
hermite(ugly),omega=0.5,0.5,Reduced Rank,8,,4,0.923178865488827,5
hermite(good),omega=0.5,0.5,Reduced Rank,9,,4,0.009171374969023094,5
hermite(bad),omega=0.5,0.5,Reduced Rank,9,,4,0.009859351332258903,5
hermite(ugly),omega=0.5,0.5,Reduced Rank,9,,0,0.9173014934022653,5
hermite(good),omega=1.0,1.0,Principal Components (kDMD),0,,4,0.009005713600916065,5
hermite(bad),omega=1.0,1.0,Principal Components (kDMD),0,,4,0.011001353222554133,5
hermite(ugly),omega=1.0,1.0,Principal Components (kDMD),0,,2,0.9191222746294071,5
hermite(good),omega=1.0,1.0,Principal Components (kDMD),1,,4,0.006018787605908238,5
hermite(bad),omega=1.0,1.0,Principal Components (kDMD),1,,5,0.00795109638571867,5
hermite(ugly),omega=1.0,1.0,Principal Components (kDMD),1,,5,0.916549032073831,5
hermite(good),omega=1.0,1.0,Principal Components (kDMD),2,,4,0.009252240646695609,5
hermite(bad),omega=1.0,1.0,Principal Components (kDMD),2,,5,0.011256552255292207,5
hermite(ugly),omega=1.0,1.0,Principal Components (kDMD),2,,2,0.9230403223755466,5
hermite(good),omega=1.0,1.0,Principal Components (kDMD),3,,4,0.008208376931231554,5
hermite(bad),omega=1.0,1.0,Principal Components (kDMD),3,,4,0.010198701133608434,5
hermite(ugly),omega=1.0,1.0,Principal Components (kDMD),3,,5,0.9280622989334766,5
hermite(good),omega=1.0,1.0,Principal Components (kDMD),4,,4,0.008168044525491802,5
hermite(bad),omega=1.0,1.0,Principal Components (kDMD),4,,4,0.00983250379148315,5
hermite(ugly),omega=1.0,1.0,Principal Components (kDMD),4,,3,0.9279931697410153,5
hermite(good),omega=1.0,1.0,Principal Components (kDMD),5,,4,0.008026980344505552,5
hermite(bad),omega=1.0,1.0,Principal Components (kDMD),5,,4,0.011102690240551327,5
hermite(ugly),omega=1.0,1.0,Principal Components (kDMD),5,,4,0.921396112008364,5
hermite(good),omega=1.0,1.0,Principal Components (kDMD),6,,4,0.009244183248399263,5
hermite(bad),omega=1.0,1.0,Principal Components (kDMD),6,,4,0.010900568861074156,5
hermite(ugly),omega=1.0,1.0,Principal Components (kDMD),6,,3,0.9192832776626207,5
hermite(good),omega=1.0,1.0,Principal Components (kDMD),7,,4,0.006015007306122366,5
hermite(bad),omega=1.0,1.0,Principal Components (kDMD),7,,4,0.008119338198801729,5
hermite(ugly),omega=1.0,1.0,Principal Components (kDMD),7,,1,0.9223203098483426,5
hermite(good),omega=1.0,1.0,Principal Components (kDMD),8,,4,0.011575017172085422,5
hermite(bad),omega=1.0,1.0,Principal Components (kDMD),8,,5,0.012414673028096623,5
hermite(ugly),omega=1.0,1.0,Principal Components (kDMD),8,,5,0.9165514403754539,5
hermite(good),omega=1.0,1.0,Principal Components (kDMD),9,,4,0.007473069091440743,5
hermite(bad),omega=1.0,1.0,Principal Components (kDMD),9,,4,0.00957898761332554,5
hermite(ugly),omega=1.0,1.0,Principal Components (kDMD),9,,5,0.916737526499764,5
hermite(good),omega=1.0,1.0,Reduced Rank,0,,4,0.008972792887336212,5
hermite(bad),omega=1.0,1.0,Reduced Rank,0,,4,0.010272539742030573,5
hermite(ugly),omega=1.0,1.0,Reduced Rank,0,,3,0.919137269653538,4
hermite(good),omega=1.0,1.0,Reduced Rank,1,,4,0.005779607564135647,5
hermite(bad),omega=1.0,1.0,Reduced Rank,1,,5,0.006865883405803186,5
hermite(ugly),omega=1.0,1.0,Reduced Rank,1,,2,0.91655714699291,5
hermite(good),omega=1.0,1.0,Reduced Rank,2,,4,0.009245120060359935,5
hermite(bad),omega=1.0,1.0,Reduced Rank,2,,5,0.010579641773943771,5
hermite(ugly),omega=1.0,1.0,Reduced Rank,2,,2,0.9231368485039739,4
hermite(good),omega=1.0,1.0,Reduced Rank,3,,4,0.008193885515668242,5
hermite(bad),omega=1.0,1.0,Reduced Rank,3,,4,0.00910115123142774,5
hermite(ugly),omega=1.0,1.0,Reduced Rank,3,,4,0.9281298122055676,5
hermite(good),omega=1.0,1.0,Reduced Rank,4,,4,0.00816363784678642,5
hermite(bad),omega=1.0,1.0,Reduced Rank,4,,4,0.009087631886404934,5
hermite(ugly),omega=1.0,1.0,Reduced Rank,4,,2,0.9281189299816764,5
hermite(good),omega=1.0,1.0,Reduced Rank,5,,4,0.007946000488005533,5
hermite(bad),omega=1.0,1.0,Reduced Rank,5,,4,0.009689458535834916,5
hermite(ugly),omega=1.0,1.0,Reduced Rank,5,,0,0.9214391970264273,5
hermite(good),omega=1.0,1.0,Reduced Rank,6,,4,0.00917422346246477,5
hermite(bad),omega=1.0,1.0,Reduced Rank,6,,4,0.010165539936208945,5
hermite(ugly),omega=1.0,1.0,Reduced Rank,6,,2,0.9193161404663684,4
hermite(good),omega=1.0,1.0,Reduced Rank,7,,4,0.005837430641819852,5
hermite(bad),omega=1.0,1.0,Reduced Rank,7,,4,0.006878258144595306,5
hermite(ugly),omega=1.0,1.0,Reduced Rank,7,,0,0.9223372027378265,3
hermite(good),omega=1.0,1.0,Reduced Rank,8,,4,0.011552198830359739,5
hermite(bad),omega=1.0,1.0,Reduced Rank,8,,4,0.011995175220293919,5
hermite(ugly),omega=1.0,1.0,Reduced Rank,8,,3,0.9165540831000714,5
hermite(good),omega=1.0,1.0,Reduced Rank,9,,4,0.007406765530625137,5
hermite(bad),omega=1.0,1.0,Reduced Rank,9,,3,0.008518641647651926,5
hermite(ugly),omega=1.0,1.0,Reduced Rank,9,,3,0.9167468553393074,4
hermite(good),omega=2.0,2.0,Principal Components (kDMD),0,,4,0.009255911348323154,5
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),0,,4,0.010985085612607914,5
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),0,,5,0.9261636695984891,5
hermite(good),omega=2.0,2.0,Principal Components (kDMD),1,,4,0.00885777579580771,5
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),1,,4,0.010861753249348571,5
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),1,,4,0.9254866068109816,5
hermite(good),omega=2.0,2.0,Principal Components (kDMD),2,,4,0.011515809509778707,5
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),2,,5,0.013904730966344703,5
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),2,,3,0.9143918830283871,5
hermite(good),omega=2.0,2.0,Principal Components (kDMD),3,,4,0.00798834259772041,5
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),3,,5,0.009300202801004298,5
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),3,,4,0.922516385751767,5
hermite(good),omega=2.0,2.0,Principal Components (kDMD),4,,4,0.007773292319027458,5
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),4,,5,0.010420987844013352,5
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),4,,1,0.9184124892524104,5
hermite(good),omega=2.0,2.0,Principal Components (kDMD),5,,4,0.012213719674459722,5
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),5,,4,0.01395340392953015,5
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),5,,5,0.9098384061385834,5
hermite(good),omega=2.0,2.0,Principal Components (kDMD),6,,4,0.010674584111413421,5
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),6,,5,0.012311181926029535,5
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),6,,5,0.9071355386830293,5
hermite(good),omega=2.0,2.0,Principal Components (kDMD),7,,4,0.010182036706206432,5
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),7,,4,0.011094316585475217,5
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),7,,2,0.9220304523007854,5
hermite(good),omega=2.0,2.0,Principal Components (kDMD),8,,4,0.012275542145901985,5
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),8,,5,0.01255009821447528,5
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),8,,3,0.9191438538491086,5
hermite(good),omega=2.0,2.0,Principal Components (kDMD),9,,4,0.01327319719625819,5
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),9,,4,0.014561279823473328,5
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),9,,3,0.907097097236662,5
hermite(good),omega=2.0,2.0,Reduced Rank,0,,4,0.009239975024503688,5
hermite(bad),omega=2.0,2.0,Reduced Rank,0,,4,0.010093177246062623,5
hermite(ugly),omega=2.0,2.0,Reduced Rank,0,,1,0.9262691695591079,5
hermite(good),omega=2.0,2.0,Reduced Rank,1,,4,0.008834323276631584,5
hermite(bad),omega=2.0,2.0,Reduced Rank,1,,4,0.010017826551838804,5
hermite(ugly),omega=2.0,2.0,Reduced Rank,1,,2,0.9254903433537736,3
hermite(good),omega=2.0,2.0,Reduced Rank,2,,4,0.011500326050793097,5
hermite(bad),omega=2.0,2.0,Reduced Rank,2,,4,0.013013779509280177,5
hermite(ugly),omega=2.0,2.0,Reduced Rank,2,,1,0.9144211687966937,5
hermite(good),omega=2.0,2.0,Reduced Rank,3,,4,0.00795701105074842,5
hermite(bad),omega=2.0,2.0,Reduced Rank,3,,5,0.008750569327116042,5
hermite(ugly),omega=2.0,2.0,Reduced Rank,3,,4,0.9225476370249132,5
hermite(good),omega=2.0,2.0,Reduced Rank,4,,4,0.007756446060567024,5
hermite(bad),omega=2.0,2.0,Reduced Rank,4,,5,0.009383835050119416,5
hermite(ugly),omega=2.0,2.0,Reduced Rank,4,,0,0.9184340235889409,5
hermite(good),omega=2.0,2.0,Reduced Rank,5,,4,0.012190130807937627,5
hermite(bad),omega=2.0,2.0,Reduced Rank,5,,4,0.013061157756091735,5
hermite(ugly),omega=2.0,2.0,Reduced Rank,5,,1,,1
hermite(good),omega=2.0,2.0,Reduced Rank,6,,4,0.010635649294749472,5
hermite(bad),omega=2.0,2.0,Reduced Rank,6,,5,0.011739599834125869,5
hermite(ugly),omega=2.0,2.0,Reduced Rank,6,,3,0.907151589887034,5
hermite(good),omega=2.0,2.0,Reduced Rank,7,,4,0.010126987374306506,5
hermite(bad),omega=2.0,2.0,Reduced Rank,7,,4,0.010686978387192347,5
hermite(ugly),omega=2.0,2.0,Reduced Rank,7,,4,0.9220423896443134,5
hermite(good),omega=2.0,2.0,Reduced Rank,8,,4,0.012243175060153377,5
hermite(bad),omega=2.0,2.0,Reduced Rank,8,,5,0.012304182963695842,5
hermite(ugly),omega=2.0,2.0,Reduced Rank,8,,4,0.919201752144514,5
hermite(good),omega=2.0,2.0,Reduced Rank,9,,4,0.013245673851347894,5
hermite(bad),omega=2.0,2.0,Reduced Rank,9,,4,0.014060517761927183,5
hermite(ugly),omega=2.0,2.0,Reduced Rank,9,,1,0.9070992852120883,4
