kernel,kind,omega,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
rbf(gamma=0.041615479676953476),omega=0.0,0.0,Principal Components (kDMD),0,1,0.01238621136263916,7.2007904664828475,0.0017201182870537099,0.10698283195136458,0.011483501930134143,0.9999219370892141,0.0,0.011483501930134143
rbf(gamma=0.041615479676953476),omega=0.0,0.0,Principal Components (kDMD),0,2,0.0291779987120551,16.96278618259003,0.0017201182870537099,0.3843010552685626,0.011483501930134143,0.9884279422560323,0.004554455756350505,0.011483501930134143
rbf(gamma=0.041615479676953476),omega=0.0,0.0,Principal Components (kDMD),0,3,0.0291779987120551,16.96278618259003,0.0017201182870537099,0.3843010552685626,0.011483501930134143,0.9884279422560323,-0.004554455756350505,0.011483501930134143
rbf(gamma=0.041615479676953476),omega=0.0,0.0,Principal Components (kDMD),0,4,0.04506827484520261,26.200683513688713,0.0017201182870537099,0.5060414961730193,0.011483501930134143,0.9701976554308247,0.01161066470986221,0.011483501930134143
rbf(gamma=0.041615479676953476),omega=0.0,0.0,Principal Components (kDMD),0,5,0.04506827484520261,26.200683513688713,0.0017201182870537099,0.5060414961730193,0.011483501930134143,0.9701976554308247,-0.01161066470986221,0.011483501930134143
rbf(gamma=0.08323095935390695),omega=0.0,0.0,Principal Components (kDMD),0,1,0.04261675290018424,7.418229753479493,0.005744868292896295,0.14307496693806324,0.010672283386730319,0.9997536658488083,0.0,0.010672283386730319
rbf(gamma=0.08323095935390695),omega=0.0,0.0,Principal Components (kDMD),0,2,0.07805604079201471,13.587089696822709,0.005744868292896295,0.37368244264073447,0.010672283386730319,0.9890718767412048,0.004336331713133633,0.010672283386730319
rbf(gamma=0.08323095935390695),omega=0.0,0.0,Principal Components (kDMD),0,3,0.07805604079201471,13.587089696822709,0.005744868292896295,0.37368244264073447,0.010672283386730319,0.9890718767412048,-0.004336331713133633,0.010672283386730319
rbf(gamma=0.08323095935390695),omega=0.0,0.0,Principal Components (kDMD),0,4,0.11420298534666287,19.879130299275676,0.005744868292896295,0.4990932638361629,0.010672283386730319,0.9709568075720303,0.011480430782705341,0.010672283386730319
rbf(gamma=0.08323095935390695),omega=0.0,0.0,Principal Components (kDMD),0,5,0.11420298534666287,19.879130299275676,0.005744868292896295,0.4990932638361629,0.010672283386730319,0.9709568075720303,-0.011480430782705341,0.010672283386730319
rbf(gamma=0.1664619187078139),omega=0.0,0.0,Principal Components (kDMD),0,1,0.12768830259808572,7.792469349971497,0.01638611547423703,0.18345538728067462,0.00979581399106455,0.9993332119321994,0.0,0.00979581399106455
rbf(gamma=0.1664619187078139),omega=0.0,0.0,Principal Components (kDMD),0,2,0.19169385444957057,11.698553861100274,0.01638611547423703,0.3594352566264516,0.00979581399106455,0.9895294041889777,0.0039774576702116425,0.00979581399106455
rbf(gamma=0.1664619187078139),omega=0.0,0.0,Principal Components (kDMD),0,3,0.19169385444957057,11.698553861100274,0.01638611547423703,0.3594352566264516,0.00979581399106455,0.9895294041889777,-0.0039774576702116425,0.00979581399106455
rbf(gamma=0.1664619187078139),omega=0.0,0.0,Principal Components (kDMD),0,4,0.26146311319159243,15.956381706370628,0.01638611547423703,0.4869030118311209,0.00979581399106455,0.9714322623371405,0.011197694499337978,0.00979581399106455
rbf(gamma=0.1664619187078139),omega=0.0,0.0,Principal Components (kDMD),0,5,0.26146311319159243,15.956381706370628,0.01638611547423703,0.4869030118311209,0.00979581399106455,0.9714322623371405,-0.011197694499337978,0.00979581399106455
rbf(gamma=0.3329238374156278),omega=0.0,0.0,Principal Components (kDMD),0,1,0.30217110250835433,8.37258015609421,0.036090559525836355,0.2229908256313894,0.009649755862148446,0.9984974943529644,0.0,0.009649755862148446
rbf(gamma=0.3329238374156278),omega=0.0,0.0,Principal Components (kDMD),0,2,0.39539864065354674,10.955735955561744,0.036090559525836355,0.3513650277344452,0.009649755862148446,0.9888419198103606,0.0033922771351232108,0.009649755862148446
rbf(gamma=0.3329238374156278),omega=0.0,0.0,Principal Components (kDMD),0,3,0.39539864065354674,10.955735955561744,0.036090559525836355,0.3513650277344452,0.009649755862148446,0.9888419198103606,-0.0033922771351232108,0.009649755862148446
rbf(gamma=0.3329238374156278),omega=0.0,0.0,Principal Components (kDMD),0,4,0.5009340104573774,13.879918101540403,0.036090559525836355,0.47356899896900867,0.009649755862148446,0.9704029922834982,0.010558708321938483,0.009649755862148446
rbf(gamma=0.3329238374156278),omega=0.0,0.0,Principal Components (kDMD),0,5,0.5009340104573774,13.879918101540403,0.036090559525836355,0.47356899896900867,0.009649755862148446,0.9704029922834982,-0.010558708321938483,0.009649755862148446
rbf(gamma=0.6658476748312556),omega=0.0,0.0,Principal Components (kDMD),0,1,0.5329407177991317,9.960088831170427,0.053507626973293254,0.25804430994575145,0.007982661028042126,0.9974522254592153,0.0,0.007982661028042126
rbf(gamma=0.6658476748312556),omega=0.0,0.0,Principal Components (kDMD),0,2,0.6161264818692493,11.51474129429755,0.053507626973293254,0.39937113206359814,0.007982661028042126,0.989463370203058,0.0035011372469340523,0.007982661028042126
rbf(gamma=0.6658476748312556),omega=0.0,0.0,Principal Components (kDMD),0,3,0.6161264818692493,11.51474129429755,0.053507626973293254,0.39937113206359814,0.007982661028042126,0.989463370203058,-0.0035011372469340523,0.007982661028042126
rbf(gamma=0.6658476748312556),omega=0.0,0.0,Principal Components (kDMD),0,4,0.6469137641971058,12.090122488892913,0.053507626973293254,0.5004090119908656,0.007982661028042126,0.9665539905703305,0.0,0.007982661028042126
rbf(gamma=0.6658476748312556),omega=0.0,0.0,Principal Components (kDMD),0,5,0.7030989678711638,13.140163517662534,0.053507626973293254,0.5621273117442315,0.007982661028042126,0.9531328589191473,0.0,0.007982661028042126
rbf(gamma=0.03687187338817967),omega=0.0,0.0,Principal Components (kDMD),1,1,0.010949491673037604,8.053612820846311,0.0013595751269163917,0.05570010156775075,0.008386840288629127,0.9999950816060742,0.0,0.008386840288629127
rbf(gamma=0.03687187338817967),omega=0.0,0.0,Principal Components (kDMD),1,2,0.019563343461572087,14.389306684319147,0.0013595751269163917,0.37635848310098574,0.008386840288629127,0.9916078125306068,0.0009221588481633433,0.008386840288629127
rbf(gamma=0.03687187338817967),omega=0.0,0.0,Principal Components (kDMD),1,3,0.019563343461572087,14.389306684319147,0.0013595751269163917,0.37635848310098574,0.008386840288629127,0.9916078125306068,-0.0009221588481633433,0.008386840288629127
rbf(gamma=0.03687187338817967),omega=0.0,0.0,Principal Components (kDMD),1,4,0.032991126118653284,24.26576175564449,0.0013595751269163917,0.42816671500141185,0.008386840288629127,0.9866724858908157,0.0,0.008386840288629127
rbf(gamma=0.03687187338817967),omega=0.0,0.0,Principal Components (kDMD),1,5,0.04082260087916381,30.025998616017805,0.0013595751269163917,0.49589356956699376,0.008386840288629127,0.9622793785466708,0.0,0.008386840288629127
rbf(gamma=0.07374374677635934),omega=0.0,0.0,Principal Components (kDMD),1,1,0.03650576135625375,8.226720276958181,0.004437462333379798,0.07945302111681937,0.007715033140896499,0.9999838971075619,0.0,0.007715033140896499
rbf(gamma=0.07374374677635934),omega=0.0,0.0,Principal Components (kDMD),1,2,0.05411494271169589,12.195020181834238,0.004437462333379798,0.3863690113928402,0.007715033140896499,0.9922688639666654,0.0,0.007715033140896499
rbf(gamma=0.07374374677635934),omega=0.0,0.0,Principal Components (kDMD),1,3,0.05791757083856662,13.051957737848253,0.004437462333379798,0.3712534840764371,0.007715033140896499,0.9913664415071374,0.0,0.007715033140896499
rbf(gamma=0.07374374677635934),omega=0.0,0.0,Principal Components (kDMD),1,4,0.08073928243280085,18.19492231527421,0.004437462333379798,0.4217517313555454,0.007715033140896499,0.9878950491149265,0.0,0.007715033140896499
rbf(gamma=0.07374374677635934),omega=0.0,0.0,Principal Components (kDMD),1,5,0.09880915115529564,22.26703997283004,0.004437462333379798,0.4907007838662227,0.007715033140896499,0.9642202875431398,0.0,0.007715033140896499
rbf(gamma=0.14748749355271867),omega=0.0,0.0,Principal Components (kDMD),1,1,0.10514614113803673,8.513184923919113,0.012350975819004278,0.11373408830208685,0.006816269097216776,0.9999352139753321,0.0,0.006816269097216776
rbf(gamma=0.14748749355271867),omega=0.0,0.0,Principal Components (kDMD),1,2,0.13179385320316994,10.670723927770998,0.012350975819004278,0.4152804877124739,0.006816269097216776,0.9931189448781154,0.0,0.006816269097216776
rbf(gamma=0.14748749355271867),omega=0.0,0.0,Principal Components (kDMD),1,3,0.16376478617991072,13.259258910371122,0.012350975819004278,0.41064033699995334,0.006816269097216776,0.9902604501900402,0.0,0.006816269097216776
rbf(gamma=0.14748749355271867),omega=0.0,0.0,Principal Components (kDMD),1,4,0.17441062195794133,14.12120179926011,0.012350975819004278,0.4157155383644782,0.006816269097216776,0.9894912872632009,0.0,0.006816269097216776
rbf(gamma=0.14748749355271867),omega=0.0,0.0,Principal Components (kDMD),1,5,0.2120678927484399,17.170132615929337,0.012350975819004278,0.4816054064227024,0.006816269097216776,0.9667797369827588,0.0,0.006816269097216776
rbf(gamma=0.29497498710543735),omega=0.0,0.0,Principal Components (kDMD),1,1,0.24426974314007538,8.946065356686635,0.027304712563663392,0.16150702143038198,0.006893264382946129,0.9997132187612258,0.0,0.006893264382946129
rbf(gamma=0.29497498710543735),omega=0.0,0.0,Principal Components (kDMD),1,2,0.27711570103141253,10.149006344062123,0.027304712563663392,0.4338429587855609,0.006893264382946129,0.9928199543782796,0.0,0.006893264382946129
rbf(gamma=0.29497498710543735),omega=0.0,0.0,Principal Components (kDMD),1,3,0.33247068697487836,12.176311550604792,0.027304712563663392,0.3981711922281188,0.006893264382946129,0.9895745245427908,0.0003561268980963218,0.006893264382946129
rbf(gamma=0.29497498710543735),omega=0.0,0.0,Principal Components (kDMD),1,4,0.33247068697487836,12.176311550604792,0.027304712563663392,0.3981711922281188,0.006893264382946129,0.9895745245427908,-0.0003561268980963218,0.006893264382946129
rbf(gamma=0.29497498710543735),omega=0.0,0.0,Principal Components (kDMD),1,5,0.38479214157567604,14.092517571041942,0.027304712563663392,0.4677787711635709,0.006893264382946129,0.9690105679574923,0.0,0.006893264382946129
rbf(gamma=0.5899499742108747),omega=0.0,0.0,Principal Components (kDMD),1,1,0.43968581329410394,9.580910134763565,0.0458918627885611,0.2232066504088094,0.00791667472098978,0.9988916996280935,0.0,0.00791667472098978
rbf(gamma=0.5899499742108747),omega=0.0,0.0,Principal Components (kDMD),1,2,0.4753840150293675,10.358786637614124,0.0458918627885611,0.44512738675250196,0.00791667472098978,0.9909750249071038,0.0,0.00791667472098978
rbf(gamma=0.5899499742108747),omega=0.0,0.0,Principal Components (kDMD),1,3,0.501980658896281,10.938336959845604,0.0458918627885611,0.39798104361028064,0.00791667472098978,0.9889396835720441,0.0,0.00791667472098978
rbf(gamma=0.5899499742108747),omega=0.0,0.0,Principal Components (kDMD),1,4,0.5373304295822848,11.70862102630139,0.0458918627885611,0.39703814819707195,0.00791667472098978,0.987041396026256,0.0,0.00791667472098978
rbf(gamma=0.5899499742108747),omega=0.0,0.0,Principal Components (kDMD),1,5,0.5798820270067597,12.635835456897162,0.0458918627885611,0.4575422237230019,0.00791667472098978,0.9693854686599476,0.0,0.00791667472098978
rbf(gamma=0.06492902188090491),omega=0.0,0.0,Principal Components (kDMD),2,1,0.015462522874893794,7.564292961857627,0.0020441464857141826,0.15052820024198565,0.00722850676560105,0.9999592080184728,0.0,0.00722850676560105
