kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
rbf(gamma=0.07240700268061724),0.28962801072246896,PCR,3.0,1.0,0.047719687986933726,,10.313217083716054,0.004627041940412582,0.21268904236476244,,0.0,2.6,0.009023473584880648,0.003015288210358402,3.0
rbf(gamma=0.07240700268061724),0.28962801072246896,Reduced Rank,3.0,1.0,12.347865563419731,,44.57499984947712,0.2770132496941461,0.21267205471716433,,0.0,2.6,0.008788192198538125,0.002763986370843619,3.0
rbf(gamma=0.09371083611283573),0.37484334445134293,PCR,3.0,1.0,0.032645259509657985,,10.348527653868953,0.003154580110481037,0.24004390918752994,,0.0,2.6,0.012202586600587262,0.005237538742104741,3.0
rbf(gamma=0.09371083611283573),0.37484334445134293,Reduced Rank,3.0,1.0,22.69493847192072,,39.705595252929086,0.5715803610889454,0.23907748245648847,,0.0,2.6,0.011575155920125124,0.004509077675277463,3.0
rbf(gamma=0.10425210156081827),0.41700840624327307,PCR,3.0,1.0,0.07811044411436692,,10.532637957188195,0.007416038074398921,0.23894465972119017,,0.0,2.6,0.014421500742220105,0.006001236449718357,3.0
rbf(gamma=0.10425210156081827),0.41700840624327307,Reduced Rank,3.0,1.0,12.449360802145847,,58.25983705043476,0.2136868455599799,0.23870017318791215,,0.0,2.6,0.01384848338017497,0.005440083967243311,3.0
rbf(gamma=0.1189493139469915),0.475797255787966,PCR,3.0,1.0,0.03433450639402837,,10.50801087428614,0.003267460112555402,0.2625190381821615,,0.0,2.4,0.011821428185017213,0.0035860777598488514,3.0
rbf(gamma=0.1189493139469915),0.475797255787966,Reduced Rank,3.0,1.0,15.097135445303572,,51.27272425230397,0.294447694470324,0.2610094645706211,,0.0,2.4,0.01142989480798664,0.0031878364407294723,3.0
rbf(gamma=0.13093199232465336),0.5237279692986134,PCR,3.0,1.0,0.022447454905352188,,10.60912250771128,0.0021158634834347674,0.2440109983401851,,0.0,2.8,0.00969655292521594,0.001507383683992445,3.0
rbf(gamma=0.13093199232465336),0.5237279692986134,Reduced Rank,3.0,1.0,6.022641274142158,,54.817843565449515,0.10986643914497389,0.24183915335422837,,0.0,2.8,0.009379974574872585,0.001249535875996304,3.0
rbf(gamma=0.13757211753939785),0.5502884701575914,PCR,3.0,1.0,0.05939666529471777,,10.428330174147783,0.0056957024089977805,0.257868560970047,,0.0,2.6,0.017025317427935206,0.006929974210407531,3.0
rbf(gamma=0.13757211753939785),0.5502884701575914,Reduced Rank,3.0,1.0,128.92319298815517,,81.08389349138332,1.5899975622391107,0.2572578081571766,,0.0,2.6,0.016078802707536054,0.005827009310946445,3.0
rbf(gamma=0.14481400536123448),0.28962801072246896,PCR,3.0,1.0,0.1694933817940315,,9.599185639928637,0.01765705843722922,0.22762690957753812,,0.0,2.6,0.009023473584880648,0.003015288210358402,3.0
rbf(gamma=0.14481400536123448),0.28962801072246896,Reduced Rank,3.0,1.0,10.846227331592223,,54.84978553401007,0.19774420676388843,0.22816633357557276,,0.0,2.6,0.008788192198538125,0.002763986370843619,3.0
rbf(gamma=0.15567608695466637),0.6227043478186655,PCR,3.0,1.0,0.051110616579242055,,10.516622444693178,0.004859983977558605,0.2509863793577165,,0.0,2.8,0.019438185587775436,0.009048346124348008,3.0
rbf(gamma=0.15567608695466637),0.6227043478186655,Reduced Rank,3.0,1.0,12.066814055769488,,59.969418188157945,0.20121612682499396,0.25236730576347377,,0.0,2.8,0.0183309125674896,0.00793760814876516,3.0
rbf(gamma=0.15668706547432937),0.6267482618973175,PCR,3.0,1.0,0.051613388360516765,,10.664763274834073,0.004839618754811956,0.22913136240980325,,0.0,2.6,0.020673506415020283,0.010187165436496434,3.0
