kernel,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
hermite(bad),Principal Components (kDMD),3.0,1.0,0.01348140045821863,0.014104290873878673,310.59520646156886,4.371189985953159e-05,0.34162745414152196,0.024796078224619978,2.933333333333333,3.283333333333333,0.9125915669281376,1.7215408026808043,4.266666666666667,-0.5883477800563726,-0.11821075388202403,-0.8078709790694811,-0.5941511720413867,-0.5017034950214097,-1.4006451117514782,0.0,1.0,0.0,-1.287092250721793,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,1
hermite(ugly),Principal Components (kDMD),3.0,1.0,0.0,0.0,3.2650326566385504,0.0,1.057478857157087,0.3019428527284623,2.933333333333333,3.283333333333333,0.9125915669281376,1.7215408026808043,4.266666666666667,-0.7073847330998236,-1.161353415173651,1.4091759388218692,-0.7333407665501115,-0.5316053234583333,0.8695707558514466,0.0,1.0,0.0,0.25825876537161696,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,2
hermite(ugly),Reduced Rank,3.0,1.0,3.017957733476516e-15,2.421472629715839e-15,3.2650326566385504,8.50725513255222e-16,1.057478857157087,0.3019428527284623,2.933333333333333,3.283333333333333,0.9125915669281376,1.7215408026808043,4.266666666666667,-0.7073847330997971,-1.161353415173651,1.4091759388218692,-0.7333407665474025,-0.5316053234583282,0.8695707558514466,0.0,1.0,0.0,0.2582587653729993,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,3
hermite(good),Principal Components (kDMD),3.0,1.0,0.00016166519829041606,0.000720356159466893,722.4069614085948,4.1877170000341943e-07,0.40832454275529023,0.2606193879573554,2.933333333333333,3.283333333333333,0.9125915669281376,1.7215408026808043,4.266666666666667,-0.7059572751233844,1.2795641690556747,-0.6013049597523883,-0.7320072929810715,-0.5300781310254438,0.5310743559000314,0.0,1.0,0.0,0.6065473439080132,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,4
hermite(bad),Reduced Rank,3.0,1.0,0.1777414530463687,0.19601928325310167,310.59520646156886,0.0005870713063029269,0.34162745414152196,0.024796078224619978,2.933333333333333,3.283333333333333,0.9125915669281376,1.7215408026808043,4.266666666666667,0.8620220259180782,-0.11821075388202403,-0.8078709790694811,1.1360407367613623,-0.11603427273516184,-1.4006451117514782,0.0,1.0,0.0,1.124790815225594,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,5
hermite(good),Reduced Rank,3.0,1.0,0.2893000059489448,1.2936626174603156,722.4069614085948,0.0007506133049597693,0.40832454275529023,0.2606193879573554,2.933333333333333,3.283333333333333,0.9125915669281376,1.7215408026808043,4.266666666666667,1.8470524954613001,1.2795641690556747,-0.6013049597523883,1.6567992613586098,2.211026545698677,0.5310743559000314,0.0,1.0,0.0,5.039236560843569,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,6
