kernel,kind,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
hermite(bad),r=4.0,Principal Components (kDMD),2,3,1.6588925268690284e-06,72.03786850127216,2.3028062342512717e-08,1.000015716471604,0.9713486004287935,-0.018743295499361483,0.021670000737554998,0.9713486004287935
hermite(bad),r=4.0,Principal Components (kDMD),2,4,2.124477125747422e-06,92.25600895761727,2.3028062342512717e-08,1.0005803520808363,0.9713486004287935,0.005891288384733324,-0.012097133606879211,0.9713486004287935
hermite(bad),r=4.0,Principal Components (kDMD),2,5,2.124477125747422e-06,92.25600895761727,2.3028062342512717e-08,1.0005803520808363,0.9713486004287935,0.005891288384733324,0.012097133606879211,0.9713486004287935
hermite(ugly),r=4.0,Principal Components (kDMD),2,1,0.0,11.632795398119137,0.0,0.8641622657319831,,0.6667494686365564,0.0,
hermite(good),r=4.0,Principal Components (kDMD),3,1,0.0,6.686526806218372,0.0,7.551397104205785e-05,0.9646028011476337,0.9999999999941867,0.0,0.9646028011476337
hermite(good),r=4.0,Principal Components (kDMD),3,2,0.0,1204.113288476976,0.0,0.9981423724155437,0.9646028011476337,0.03539719884655287,0.0,0.9646028011476337
hermite(good),r=4.0,Principal Components (kDMD),3,3,0.0,471.8498484664555,0.0,0.9996836361532483,0.9646028011476337,-0.002281313270437065,0.03516785430486787,0.9646028011476337
hermite(good),r=4.0,Principal Components (kDMD),3,4,0.0,471.8498484664555,0.0,0.9996836361532483,0.9646028011476337,-0.002281313270437065,-0.03516785430486787,0.9646028011476337
hermite(good),r=4.0,Principal Components (kDMD),3,5,0.0,746.5055052070085,0.0,0.9991188793034699,0.9646028011476337,0.006506685950776384,0.0,0.9646028011476337
hermite(bad),r=4.0,Principal Components (kDMD),3,1,1.7937834981322392e-07,7.727045120340756,2.3214352578455434e-08,0.007101691758767079,0.9631673353651071,0.9999999478985462,0.0,0.9631673353651071
