dropped_metric,best_kernel,best_method,best_score,best_rank
agg_spurious_mean,rbf(gamma=0.4313569291045801),Principal Components (kDMD),-2.9999999999999996,1
mean_spurious_residual_count,rbf(gamma=0.4313569291045801),Principal Components (kDMD),-1.9999999999999996,1
