kind,method,kernel,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
omega=0.0,Principal Components (kDMD),hermite(ugly),3.0,1.0,0.0,0.0,4.681435028552114,0.0,0.8127842026572518,0.020426891434545954,,3.2,0.917077108422433,0.008387222413226246,5.0,-0.49126971371984723,-0.7481902435614425,1.3903519365147958,-0.5272557390832673,-0.48718142959489374,-0.3716362505603874,0.0,-0.5683259042422286,-1.4125263649126591,-1.602029397045506,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,5
omega=0.0,Reduced Rank,hermite(ugly),3.0,1.0,2.0316522977994225e-16,8.787833158750329e-17,0.37182144885415447,4.942285048417008e-16,0.8180009513032431,0.016438837449789533,,2.0,0.9170904079162417,0.008389515958685175,4.4,-0.4912697137198471,-1.034805570502979,1.4097129771156587,-0.5272557390832628,-0.4871814295948936,-0.5732258055308316,0.0,-2.00409660969628,-1.4125574494974624,-3.355467319875241,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,2
omega=0.5,Principal Components (kDMD),hermite(ugly),3.0,1.0,0.0,0.0,4.718707081385456,0.0,0.8180322513405176,0.015380729534434812,,3.3,0.9153118770329328,0.005993443749016008,5.0,-0.49126971371984723,-0.745711426978226,1.4098291416720907,-0.5272557390832673,-0.48718142959489374,-0.6267114164534457,0.0,-0.4486783454543915,-1.4084005323349316,-1.5221316917015584,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,6
omega=0.5,Reduced Rank,hermite(ugly),3.0,1.0,1.521814679957796e-16,7.134509952214091e-17,0.3252141488824562,4.680275166233437e-16,0.8110760676655562,0.012678938390192277,,1.7,0.9153341569501009,0.0059916380790487915,4.3,-0.4912697137198472,-1.0379052373924142,1.384012495385811,-0.5272557390832632,-0.4871814295948937,-0.7632825051279652,0.0,-2.363039286059793,-1.4084526066457714,-3.7886718983314753,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,1
omega=1.0,Principal Components (kDMD),hermite(ugly),3.0,1.0,0.0,0.0,4.639874212189142,0.0,0.8183171064185573,0.013476707210216557,,3.5,0.9211055764147822,0.004333006787413933,5.0,-0.49126971371984723,-0.7509542888173666,1.410886330949463,-0.5272557390832673,-0.48718142959489374,-0.7229566063280237,0.0,-0.2093832278787161,-1.421942005592987,-1.3178542807853233,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,7
omega=1.0,Reduced Rank,hermite(ugly),3.0,1.0,1.7223912432500693e-16,1.1224577549574916e-16,0.36247144069507703,4.684694572267219e-16,0.8164880168714854,0.010279422772862307,,2.1,0.9211473486007667,0.004368357223504406,4.4,-0.4912697137198471,-1.0354274025062111,1.404097988365489,-0.5272557390832631,-0.4871814295948936,-0.8845740641918839,0.0,-1.8844490509084422,-1.4220396387116838,-3.3246347411131794,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,3
omega=2.0,Principal Components (kDMD),hermite(ugly),3.0,1.0,0.0,0.0,4.747320346731355,0.0,0.8221928388093707,0.013401657768799953,,3.5,0.9172216382650203,0.007236459223068417,5.0,-0.49126971371984723,-0.7438084720495952,1.4252704267280238,-0.5272557390832673,-0.48718142959489374,-0.7267502318791778,0.0,-0.2093832278787161,-1.4128641710136318,-1.292733857337102,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,8
omega=2.0,Reduced Rank,hermite(ugly),3.0,1.0,6.249485160631695e-16,1.1501466481527662e-15,1.086022686532063,4.562460917808581e-16,0.8238533944681694,0.012063940060621307,,2.1,0.9180730399123755,0.007179941801497891,4.3,-0.4912697137198469,-0.9873068754451612,1.4314332855720473,-0.5272557390832632,-0.48718142959489225,-0.7943696569166967,0.0,-1.8844490509084422,-1.4148541314654361,-3.2230350614036496,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,4
