kind,kernel,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
damping=0.0,rbf(gamma=25.0),Principal Components (kDMD),5,0,4,1.0201203326509756e-08,5
damping=0.0,rbf(gamma=25.0),Principal Components (kDMD),6,0,4,4.9683676395240184e-08,5
damping=0.0,rbf(gamma=25.0),Principal Components (kDMD),7,0,4,3.4929870107447414e-10,5
damping=0.0,rbf(gamma=25.0),Principal Components (kDMD),8,0,4,1.957974360422554e-08,5
damping=0.0,rbf(gamma=25.0),Principal Components (kDMD),9,0,4,3.038477147665475e-08,5
damping=0.0,rbf(gamma=0.5),Reduced Rank,0,0,4,5.687951221133858e-10,5
damping=0.0,rbf(gamma=0.5),Reduced Rank,1,0,4,4.1769232517196997e-10,5
damping=0.0,rbf(gamma=0.5),Reduced Rank,2,0,4,8.963423336894039e-10,5
damping=0.0,rbf(gamma=0.5),Reduced Rank,3,0,4,3.737634646228116e-10,5
damping=0.0,rbf(gamma=0.5),Reduced Rank,4,0,4,7.584850525432785e-10,5
damping=0.0,rbf(gamma=0.5),Reduced Rank,5,0,4,7.054086204050236e-10,5
damping=0.0,rbf(gamma=0.5),Reduced Rank,6,0,4,3.8139069680198645e-10,5
damping=0.0,rbf(gamma=0.5),Reduced Rank,7,0,4,3.945156534790328e-09,5
damping=0.0,rbf(gamma=0.5),Reduced Rank,8,0,4,5.396568747428887e-10,5
damping=0.0,rbf(gamma=0.5),Reduced Rank,9,0,4,4.549757237626295e-10,5
damping=0.0,rbf(gamma=1.0),Reduced Rank,0,0,4,3.4244496127655566e-10,5
damping=0.0,rbf(gamma=1.0),Reduced Rank,1,0,4,2.857770686759409e-10,5
damping=0.0,rbf(gamma=1.0),Reduced Rank,2,0,4,4.975881928714898e-10,5
damping=0.0,rbf(gamma=1.0),Reduced Rank,3,0,4,2.7758795262400326e-10,5
damping=0.0,rbf(gamma=1.0),Reduced Rank,4,0,4,4.3052683640354417e-10,5
damping=0.0,rbf(gamma=1.0),Reduced Rank,5,0,4,4.0517544874774103e-10,5
damping=0.0,rbf(gamma=1.0),Reduced Rank,6,0,4,2.784195096694475e-10,5
damping=0.0,rbf(gamma=1.0),Reduced Rank,7,0,4,2.0210410012211355e-09,5
damping=0.0,rbf(gamma=1.0),Reduced Rank,8,0,4,3.299130968414943e-10,5
damping=0.0,rbf(gamma=1.0),Reduced Rank,9,0,4,2.971172197163696e-10,5
damping=0.0,rbf(gamma=2.5),Reduced Rank,0,0,4,2.9993862948884953e-10,5
damping=0.0,rbf(gamma=2.5),Reduced Rank,1,0,4,4.334212988510444e-10,5
damping=0.0,rbf(gamma=2.5),Reduced Rank,2,0,4,2.863494996674376e-10,5
damping=0.0,rbf(gamma=2.5),Reduced Rank,3,0,4,5.444079631544696e-10,5
damping=0.0,rbf(gamma=2.5),Reduced Rank,4,0,4,2.7719915252077953e-10,5
damping=0.0,rbf(gamma=2.5),Reduced Rank,5,0,4,2.775825125311826e-10,5
damping=0.0,rbf(gamma=2.5),Reduced Rank,6,0,4,5.199591868176867e-10,5
damping=0.0,rbf(gamma=2.5),Reduced Rank,7,0,4,8.656191319289519e-10,5
damping=0.0,rbf(gamma=2.5),Reduced Rank,8,0,4,3.1182645354732585e-10,5
damping=0.0,rbf(gamma=2.5),Reduced Rank,9,0,4,3.7760072846282355e-10,5
damping=0.0,rbf(gamma=5.0),Reduced Rank,0,0,4,6.827224341421356e-10,5
damping=0.0,rbf(gamma=5.0),Reduced Rank,1,0,4,1.4352844468490389e-09,5
damping=0.0,rbf(gamma=5.0),Reduced Rank,2,0,4,3.37099348435288e-10,5
damping=0.0,rbf(gamma=5.0),Reduced Rank,3,0,4,1.9764055947391057e-09,5
damping=0.0,rbf(gamma=5.0),Reduced Rank,4,0,4,4.113515084114283e-10,5
damping=0.0,rbf(gamma=5.0),Reduced Rank,5,0,4,4.5868941978000066e-10,5
damping=0.0,rbf(gamma=5.0),Reduced Rank,6,0,4,1.8598166340311195e-09,5
damping=0.0,rbf(gamma=5.0),Reduced Rank,7,0,4,4.825363442151342e-10,5
damping=0.0,rbf(gamma=5.0),Reduced Rank,8,0,4,7.642236843352634e-10,5
damping=0.0,rbf(gamma=5.0),Reduced Rank,9,0,4,1.1456313675495267e-09,5
damping=0.0,rbf(gamma=12.5),Reduced Rank,0,0,4,4.142784559846291e-09,5
damping=0.0,rbf(gamma=12.5),Reduced Rank,1,0,4,9.353399721412359e-09,5
damping=0.0,rbf(gamma=12.5),Reduced Rank,2,0,4,1.4152931049338235e-09,5
damping=0.0,rbf(gamma=12.5),Reduced Rank,3,0,4,1.2959608608476003e-08,5
damping=0.0,rbf(gamma=12.5),Reduced Rank,4,0,4,2.0694510549645884e-09,5
damping=0.0,rbf(gamma=12.5),Reduced Rank,5,0,4,2.453799052837269e-09,5
damping=0.0,rbf(gamma=12.5),Reduced Rank,6,0,4,1.2187865161550349e-08,5
damping=0.0,rbf(gamma=12.5),Reduced Rank,7,0,4,2.8340241264857013e-10,5
damping=0.0,rbf(gamma=12.5),Reduced Rank,8,0,4,4.7296505600868954e-09,5
damping=0.0,rbf(gamma=12.5),Reduced Rank,9,0,4,7.3884225404441395e-09,5
damping=0.0,rbf(gamma=25.0),Reduced Rank,0,0,4,1.7177035460669288e-08,5
damping=0.0,rbf(gamma=25.0),Reduced Rank,1,0,4,3.831123251973878e-08,5
damping=0.0,rbf(gamma=25.0),Reduced Rank,2,0,4,5.827125559854096e-09,5
