kind,method,kernel,composite_score,mean_spectral_gap,mean_spurious_residual_count
omega=0.0,Principal Components (kDMD),rbf(gamma=0.03687187338817967),-6.15493730780851,0.008386840288629127,4.0
omega=0.0,Reduced Rank,rbf(gamma=0.03687187338817967),-5.270276794432426,0.008059961556605155,4.0
omega=0.5,Principal Components (kDMD),rbf(gamma=0.04991329869862887),-6.422357337272016,0.010019737662339212,4.0
omega=0.5,Reduced Rank,rbf(gamma=0.04991329869862887),-5.219335915979944,0.009587426144699762,4.0
omega=1.0,Principal Components (kDMD),rbf(gamma=0.03838346396753446),-5.8461701327266065,0.00849614239263996,4.0
omega=1.0,Reduced Rank,rbf(gamma=0.03838346396753446),-4.801545662452938,0.008305503476633502,4.0
omega=2.0,Principal Components (kDMD),rbf(gamma=0.041782531005107114),-6.145582012157097,0.01165094388753396,4.0
omega=2.0,Reduced Rank,rbf(gamma=0.041782531005107114),-4.650874419742453,0.011363942629442625,4.0
