kind,kernel,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
good,hermite,PCR,0,1,1.3174341775994097e-13,2.087545567737567,6.310924168363012e-14,9.08345754936866e-05,0.2631043398258769,0.9999999999065767,0.0,0.2631043398258769
good,hermite,PCR,0,1,1.3174341775994097e-13,2.087545567737567,6.310924168363012e-14,9.08345754936866e-05,0.2631043398258769,0.9999999999065767,0.0,0.2618586410755428
good,hermite,PCR,0,1,1.3174341775994097e-13,2.087545567737567,6.310924168363012e-14,9.08345754936866e-05,0.2631043398258769,0.9999999999065767,0.0,
good,hermite,PCR,0,1,1.3174341775994097e-13,2.087545567737567,6.310924168363012e-14,9.08345754936866e-05,0.2631043398258769,0.9999999999065767,0.0,0.26848687752660383
good,hermite,PCR,0,1,1.3174341775994097e-13,2.087545567737567,6.310924168363012e-14,9.08345754936866e-05,0.2631043398258769,0.9999999999065767,0.0,0.13984862022049627
good,hermite,PCR,0,1,1.3174341775994097e-13,2.087545567737567,6.310924168363012e-14,9.08345754936866e-05,0.2631043398258769,0.9999999999065767,0.0,
good,hermite,PCR,0,1,1.3174341775994097e-13,2.087545567737567,6.310924168363012e-14,9.08345754936866e-05,0.2631043398258769,0.9999999999065767,0.0,0.2631043398258769
good,hermite,PCR,0,1,1.3174341775994097e-13,2.087545567737567,6.310924168363012e-14,9.08345754936866e-05,0.2631043398258769,0.9999999999065767,0.0,0.2618586410755428
good,hermite,PCR,0,1,1.3174341775994097e-13,2.087545567737567,6.310924168363012e-14,9.08345754936866e-05,0.2631043398258769,0.9999999999065767,0.0,
good,hermite,PCR,0,1,1.3174341775994097e-13,2.087545567737567,6.310924168363012e-14,9.08345754936866e-05,0.2631043398258769,0.9999999999065767,0.0,0.26848687752660383
good,hermite,PCR,0,1,1.3174341775994097e-13,2.087545567737567,6.310924168363012e-14,9.08345754936866e-05,0.2631043398258769,0.9999999999065767,0.0,0.13984862022049627
good,hermite,PCR,0,1,1.3174341775994097e-13,2.087545567737567,6.310924168363012e-14,9.08345754936866e-05,0.2631043398258769,0.9999999999065767,0.0,
good,hermite,PCR,0,2,1.5773539096828733e-11,249.9402413342613,6.310924168363012e-14,0.6166021735162667,0.2631043398258769,0.7368956600806998,0.0,0.2631043398258769
good,hermite,PCR,0,2,1.5773539096828733e-11,249.9402413342613,6.310924168363012e-14,0.6166021735162667,0.2631043398258769,0.7368956600806998,0.0,0.2618586410755428
good,hermite,PCR,0,2,1.5773539096828733e-11,249.9402413342613,6.310924168363012e-14,0.6166021735162667,0.2631043398258769,0.7368956600806998,0.0,
good,hermite,PCR,0,2,1.5773539096828733e-11,249.9402413342613,6.310924168363012e-14,0.6166021735162667,0.2631043398258769,0.7368956600806998,0.0,0.26848687752660383
good,hermite,PCR,0,2,1.5773539096828733e-11,249.9402413342613,6.310924168363012e-14,0.6166021735162667,0.2631043398258769,0.7368956600806998,0.0,0.13984862022049627
good,hermite,PCR,0,2,1.5773539096828733e-11,249.9402413342613,6.310924168363012e-14,0.6166021735162667,0.2631043398258769,0.7368956600806998,0.0,
good,hermite,PCR,0,2,1.5773539096828733e-11,249.9402413342613,6.310924168363012e-14,0.6166021735162667,0.2631043398258769,0.7368956600806998,0.0,0.2631043398258769
good,hermite,PCR,0,2,1.5773539096828733e-11,249.9402413342613,6.310924168363012e-14,0.6166021735162667,0.2631043398258769,0.7368956600806998,0.0,0.2618586410755428
