kind,method,kernel,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
omega=0.0,Principal Components (kDMD),rbf(gamma=0.03687187338817967),3.0,1.0,0.015256417567304847,,11.221459752582728,0.0013595751269163917,0.21602929233436824,,,4.0,0.008386840288629127,,5.0,-0.46611270692702783,-0.9202475630841415,-1.2579005105133243,-0.5054016057064488,0.0,0.0,0.0,-3.45010518773727,0.384258926612956,-6.15493730780851,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,2
omega=0.0,Reduced Rank,rbf(gamma=0.03687187338817967),3.0,1.0,42.6508081731552,,64.14681779979736,0.6648935931049402,0.21302996370832772,,,4.0,0.008059961556605155,,5.0,-0.4633078828865986,-0.0682420938418562,-1.2992996603315154,-0.49780516628248894,0.0,0.0,0.0,-3.45010518773727,0.5191612270121176,-5.270276794432426,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,16
omega=0.5,Principal Components (kDMD),rbf(gamma=0.04991329869862887),3.0,1.0,0.026961360419839563,,12.931662744350362,0.00208491057591326,0.21907148345263106,,,4.0,0.010019737662339212,,5.0,-0.4661119369052091,-0.892716293457195,-1.2159097380494233,-0.5053933017361156,0.0,0.0,0.0,-3.45010518773727,-0.2896350605097227,-6.422357337272016,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,1
omega=0.5,Reduced Rank,rbf(gamma=0.04991329869862887),3.0,1.0,44.909490218006425,,90.62314710918305,0.49556312763999844,0.2087359179863113,,,4.0,0.009587426144699762,,5.0,-0.46315929314310467,0.3579803864469401,-1.3585695384730774,-0.4997437385164418,0.0,0.0,0.0,-3.45010518773727,-0.11122082763042475,-5.219335915979944,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,17
omega=1.0,Principal Components (kDMD),rbf(gamma=0.03838346396753446),3.0,1.0,0.02211426278323009,,11.169516807933487,0.001979876404995672,0.24009351312202784,,,4.0,0.00849614239263996,,5.0,-0.4661122557765598,-0.9210837534201657,-0.9257467501694622,-0.5053945042151072,0.0,0.0,0.0,-3.45010518773727,0.33915013296880875,-5.8461701327266065,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,5
omega=1.0,Reduced Rank,rbf(gamma=0.03838346396753446),3.0,1.0,55.04094139897603,,76.32805848481688,0.7211101984196903,0.23637050753412592,,,4.0,0.008305503476633502,,5.0,-0.46249278510775144,0.12785452352131102,-0.9771346723762341,-0.4971615729996676,0.0,0.0,0.0,-3.45010518773727,0.41782649149368134,-4.801545662452938,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,18
omega=2.0,Principal Components (kDMD),rbf(gamma=0.041782531005107114),3.0,1.0,0.017163067789616685,,10.732944674134556,0.0015991014871229285,0.2660744119805672,,,4.0,0.01165094388753396,,5.0,-0.46611258149606327,-0.928111799321785,-0.5671374551033703,-0.5053988634996645,0.0,0.0,0.0,-3.45010518773727,-0.9628311134975527,-6.145582012157097,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,3
omega=2.0,Reduced Rank,rbf(gamma=0.041782531005107114),3.0,1.0,73.79439884077948,,99.77894247051958,0.7395788832155901,0.265561676437773,,,4.0,0.011363942629442625,,5.0,-0.4612590694383619,0.5053726386857025,-0.5742146441012529,-0.49695013509069674,0.0,0.0,0.0,-3.45010518773727,-0.8443861792118456,-4.650874419742453,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,20
