kernel,kind,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
linear,omega=0.5,Principal Components (kDMD),7,2,0.0,9.285293357532893,0.0,0.13779620624279565,0.0,0.9998398633154792,-0.008643929028624825,0.0
linear,omega=0.5,Principal Components (kDMD),7,3,0.0,0.0,0.0,1.0002723655850287,0.0,7.900218665898172e-09,0.0,0.0
linear,omega=0.5,Principal Components (kDMD),7,4,,,0.0,,0.0,-7.4257104238071656e-09,0.0,0.0
linear,omega=0.5,Principal Components (kDMD),7,5,0.0,0.0,0.0,1.0000029295230837,0.0,3.9787441965759586e-10,0.0,0.0
linear,omega=0.5,Principal Components (kDMD),8,1,0.0,9.188280926951535,0.0,0.1362958837743672,0.0,0.9999996430819912,0.008875274158555255,0.0
linear,omega=0.5,Principal Components (kDMD),8,2,0.0,9.188280926951535,0.0,0.1362958837743672,0.0,0.9999996430819912,-0.008875274158555255,0.0
linear,omega=0.5,Principal Components (kDMD),8,3,0.0,0.0,0.0,1.0001840113547937,0.0,2.147663785912073e-09,4.3176529304769655e-09,0.0
linear,omega=0.5,Principal Components (kDMD),8,4,0.0,0.0,0.0,1.0001840113547937,0.0,2.147663785912073e-09,-4.3176529304769655e-09,0.0
linear,omega=0.5,Principal Components (kDMD),8,5,0.0,0.0,0.0,1.000972444942342,0.0,1.2894008444561346e-09,0.0,0.0
linear,omega=0.5,Principal Components (kDMD),9,1,0.0,9.233520846023172,0.0,0.14243201646979678,0.0,1.000000939918063,0.008756265169606809,0.0
linear,omega=0.5,Principal Components (kDMD),9,2,0.0,9.233520846023172,0.0,0.14243201646979678,0.0,1.000000939918063,-0.008756265169606809,0.0
linear,omega=0.5,Principal Components (kDMD),9,3,0.0,0.0,0.0,1.0002863961457575,0.0,-7.2469626359664284e-09,1.1160093203014493e-08,0.0
linear,omega=0.5,Principal Components (kDMD),9,4,0.0,0.0,0.0,1.0002863961457575,0.0,-7.2469626359664284e-09,-1.1160093203014493e-08,0.0
linear,omega=0.5,Principal Components (kDMD),9,5,0.0,0.0,0.0,1.000491796056772,0.0,1.1701292938183596e-08,0.0,0.0
linear,omega=0.5,Reduced Rank,0,1,3.1670541176098323e-16,0.25106937575184063,1.2614258939888308e-15,0.14080494161416776,0.0,1.0021428757893842,0.008946210657737007,0.0
linear,omega=0.5,Reduced Rank,0,2,3.1670541176098323e-16,0.25106937575184063,1.2614258939888308e-15,0.14080494161416776,0.0,1.0021428757893842,-0.008946210657737007,0.0
linear,omega=0.5,Reduced Rank,0,3,,,1.2614258939888308e-15,,0.0,2.743714332596927e-07,0.0,0.0
linear,omega=0.5,Reduced Rank,0,4,0.0,0.0,1.2614258939888308e-15,1.0000892807022763,0.0,-2.391541928534138e-07,0.0,0.0
linear,omega=0.5,Reduced Rank,0,5,,,1.2614258939888308e-15,,0.0,7.101391519146125e-38,0.0,0.0
linear,omega=0.5,Reduced Rank,1,1,7.010391487810726e-16,0.42941282051939605,1.6325529077895977e-15,0.11759338761757251,0.0,1.0000212320354671,0.01150071259546301,0.0
linear,omega=0.5,Reduced Rank,1,2,7.010391487810726e-16,0.42941282051939605,1.6325529077895977e-15,0.11759338761757251,0.0,1.0000212320354671,-0.01150071259546301,0.0
