kernel,kind,method,bias_gap_corr
rbf(gamma=0.23789200909681885),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.23789200909681885),A=rev,Reduced Rank,
rbf(gamma=0.2415637664691042),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.2415637664691042),A=rot,Reduced Rank,
rbf(gamma=0.24163147893285256),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.24163147893285256),A=rot,Reduced Rank,
rbf(gamma=0.24445527926809288),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.24445527926809288),A=rot,Reduced Rank,
rbf(gamma=0.2452238173637312),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.2452238173637312),A=rev,Reduced Rank,
rbf(gamma=0.2518019398291556),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.2518019398291556),A=rev,Reduced Rank,
rbf(gamma=0.25743184829229704),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.25743184829229704),A=rev,Reduced Rank,
rbf(gamma=0.25962048008092325),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.25962048008092325),A=rev,Reduced Rank,
rbf(gamma=0.26034712293045087),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.26034712293045087),A=rot,Reduced Rank,
rbf(gamma=0.27190499732085294),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.27190499732085294),A=rot,Reduced Rank,
rbf(gamma=0.28910685827967936),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.28910685827967936),A=rev,Reduced Rank,
rbf(gamma=0.32155779818915764),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.32155779818915764),A=rev,Reduced Rank,
rbf(gamma=0.3234700632512718),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.3234700632512718),A=rev,Reduced Rank,
rbf(gamma=0.3996342233110933),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.3996342233110933),A=rot,Reduced Rank,
rbf(gamma=0.4117258011729293),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.4117258011729293),A=rev,Reduced Rank,
rbf(gamma=0.41519277400084936),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.41519277400084936),A=rot,Reduced Rank,
rbf(gamma=0.4160879664969445),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.4160879664969445),A=rot,Reduced Rank,
rbf(gamma=0.4307192956515835),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.4307192956515835),A=rev,Reduced Rank,
rbf(gamma=0.4573645589179041),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.4573645589179041),A=rot,Reduced Rank,
rbf(gamma=0.4645776920623065),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.4645776920623065),A=rot,Reduced Rank,
rbf(gamma=0.4757840181936377),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.4757840181936377),A=rev,Reduced Rank,
rbf(gamma=0.4831275329382084),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.4831275329382084),A=rot,Reduced Rank,
rbf(gamma=0.4832629578657051),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.4832629578657051),A=rot,Reduced Rank,
rbf(gamma=0.48891055853618576),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.48891055853618576),A=rot,Reduced Rank,
rbf(gamma=0.4904476347274624),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.4904476347274624),A=rev,Reduced Rank,
rbf(gamma=0.5036038796583112),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.5036038796583112),A=rev,Reduced Rank,
rbf(gamma=0.5148636965845941),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.5148636965845941),A=rev,Reduced Rank,
rbf(gamma=0.5192409601618465),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.5192409601618465),A=rev,Reduced Rank,
rbf(gamma=0.5206942458609017),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.5206942458609017),A=rot,Reduced Rank,
rbf(gamma=0.5438099946417059),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.5438099946417059),A=rot,Reduced Rank,
rbf(gamma=0.5782137165593587),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.5782137165593587),A=rev,Reduced Rank,
rbf(gamma=0.6431155963783153),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.6431155963783153),A=rev,Reduced Rank,
rbf(gamma=0.6469401265025436),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.6469401265025436),A=rev,Reduced Rank,
rbf(gamma=0.7992684466221865),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.7992684466221865),A=rot,Reduced Rank,
rbf(gamma=0.8234516023458586),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.8234516023458586),A=rev,Reduced Rank,
rbf(gamma=0.8303855480016987),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.8303855480016987),A=rot,Reduced Rank,
rbf(gamma=0.832175932993889),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.832175932993889),A=rot,Reduced Rank,
rbf(gamma=0.861438591303167),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.861438591303167),A=rev,Reduced Rank,
rbf(gamma=0.9147291178358082),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.9147291178358082),A=rot,Reduced Rank,
rbf(gamma=0.929155384124613),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.929155384124613),A=rot,Reduced Rank,
rbf(gamma=0.9515680363872754),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.9515680363872754),A=rev,Reduced Rank,
rbf(gamma=0.9662550658764169),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.9662550658764169),A=rot,Reduced Rank,
rbf(gamma=0.9665259157314102),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.9665259157314102),A=rot,Reduced Rank,
rbf(gamma=0.9778211170723715),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.9778211170723715),A=rot,Reduced Rank,
rbf(gamma=0.9808952694549248),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.9808952694549248),A=rev,Reduced Rank,
rbf(gamma=1.0072077593166224),A=rev,Principal Components (kDMD) ,
rbf(gamma=1.0072077593166224),A=rev,Reduced Rank,
rbf(gamma=1.0297273931691882),A=rev,Principal Components (kDMD) ,
rbf(gamma=1.0297273931691882),A=rev,Reduced Rank,
rbf(gamma=1.038481920323693),A=rev,Principal Components (kDMD) ,
rbf(gamma=1.038481920323693),A=rev,Reduced Rank,
rbf(gamma=1.0413884917218035),A=rot,Principal Components (kDMD) ,
rbf(gamma=1.0413884917218035),A=rot,Reduced Rank,
rbf(gamma=1.0876199892834117),A=rot,Principal Components (kDMD) ,
rbf(gamma=1.0876199892834117),A=rot,Reduced Rank,
rbf(gamma=1.1564274331187174),A=rev,Principal Components (kDMD) ,
rbf(gamma=1.1564274331187174),A=rev,Reduced Rank,
rbf(gamma=1.2862311927566306),A=rev,Principal Components (kDMD) ,
rbf(gamma=1.2862311927566306),A=rev,Reduced Rank,
rbf(gamma=1.2938802530050872),A=rev,Principal Components (kDMD) ,
rbf(gamma=1.2938802530050872),A=rev,Reduced Rank,
