kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
poly(p=1),0.5,Reduced Rank,3,,2,0.0001999670133785436,3
poly(p=1),0.5,Reduced Rank,4,,4,0.00011812699242330638,5
poly(p=1),0.5,Reduced Rank,5,,0,0.001348374012143827,5
poly(p=1),0.5,Reduced Rank,6,,3,4.166819432904756e-05,4
poly(p=1),0.5,Reduced Rank,7,,0,0.0003718801385323989,4
poly(p=1),0.5,Reduced Rank,8,,4,0.0,5
poly(p=1),0.5,Reduced Rank,9,,0,0.0,5
poly(p=1),0.8,Reduced Rank,0,,3,0.0002221921993873499,5
poly(p=1),0.8,Reduced Rank,1,,0,0.0,5
poly(p=1),0.8,Reduced Rank,2,,3,0.0008562227671554679,5
poly(p=1),0.8,Reduced Rank,3,,0,0.0,4
poly(p=1),0.8,Reduced Rank,4,,0,0.0005122854800323484,5
poly(p=1),0.8,Reduced Rank,5,,2,0.0013692830625332553,3
poly(p=1),0.8,Reduced Rank,6,,0,0.00010452145626382858,5
poly(p=1),0.8,Reduced Rank,7,,0,0.0012372159884437295,5
poly(p=1),0.8,Reduced Rank,8,,3,0.0005803551140414198,5
poly(p=1),0.8,Reduced Rank,9,,3,0.000696090256069426,5
poly(p=1),1.0,Reduced Rank,0,,0,6.788935239931959e-05,5
poly(p=1),1.0,Reduced Rank,1,,3,0.00030415005784290017,5
poly(p=1),1.0,Reduced Rank,2,,0,0.0,5
poly(p=1),1.0,Reduced Rank,3,,3,0.0,5
poly(p=1),1.0,Reduced Rank,4,,3,0.0,5
poly(p=1),1.0,Reduced Rank,5,,3,0.0,5
poly(p=1),1.0,Reduced Rank,6,,4,0.0004922917977641106,5
poly(p=1),1.0,Reduced Rank,7,,2,0.0,5
poly(p=1),1.0,Reduced Rank,8,,0,0.00011661592667866483,5
poly(p=1),1.0,Reduced Rank,9,,1,7.837003139410381e-05,5
poly(p=1),1.2,Reduced Rank,0,,1,0.00016438363141246803,5
poly(p=1),1.2,Reduced Rank,1,,1,6.825805116772443e-05,5
poly(p=1),1.2,Reduced Rank,2,,2,1.2487290481644209e-05,5
poly(p=1),1.2,Reduced Rank,3,,3,0.00027482304347037356,4
poly(p=1),1.2,Reduced Rank,4,,3,0.00017115339151030362,5
poly(p=1),1.2,Reduced Rank,5,,3,0.0001612709988277894,5
poly(p=1),1.2,Reduced Rank,6,,0,0.0,5
poly(p=1),1.2,Reduced Rank,7,,3,0.00017105225936731028,5
poly(p=1),1.2,Reduced Rank,8,,0,0.0,5
poly(p=1),1.2,Reduced Rank,9,,0,4.09902415379193e-05,4
poly(p=1),1.5,Reduced Rank,0,,0,0.000433509144402322,5
poly(p=1),1.5,Reduced Rank,1,,3,0.0007172321638794221,5
poly(p=1),1.5,Reduced Rank,2,,0,0.00023842464405188224,5
poly(p=1),1.5,Reduced Rank,3,,0,0.0010006342569282012,5
poly(p=1),1.5,Reduced Rank,4,,0,0.00014454006718023216,4
poly(p=1),1.5,Reduced Rank,5,,3,0.00039659393944868615,5
poly(p=1),1.5,Reduced Rank,6,,3,0.00048729820028836635,5
poly(p=1),1.5,Reduced Rank,7,,4,8.67117528393635e-05,5
poly(p=1),1.5,Reduced Rank,8,,4,0.0006836386676553063,5
poly(p=1),1.5,Reduced Rank,9,,3,0.00012807073599396812,5
poly(p=1),2.0,Reduced Rank,0,,2,0.00044143026785259387,3
poly(p=1),2.0,Reduced Rank,1,,3,0.0025529916748197046,5
poly(p=1),2.0,Reduced Rank,2,,3,0.000769782133353436,4
poly(p=1),2.0,Reduced Rank,3,,4,0.0025595888190240723,5
poly(p=1),2.0,Reduced Rank,4,,0,0.0009677886272794201,5
poly(p=1),2.0,Reduced Rank,5,,3,0.00036604231690073874,4
poly(p=1),2.0,Reduced Rank,6,,3,0.0009099730851325205,5
poly(p=1),2.0,Reduced Rank,7,,0,0.0010678113056332705,5
poly(p=1),2.0,Reduced Rank,8,,3,0.001287486633694268,5
poly(p=1),2.0,Reduced Rank,9,,0,0.0,5
poly(p=1),3.0,Reduced Rank,0,,1,0.0008058587942485484,5
poly(p=1),3.0,Reduced Rank,1,,2,0.002906448010326468,5
poly(p=1),3.0,Reduced Rank,2,,0,0.0013773553276636985,5
poly(p=1),3.0,Reduced Rank,3,,3,0.002913865935781468,4
poly(p=1),3.0,Reduced Rank,4,,3,0.0023264940158824743,4
poly(p=1),3.0,Reduced Rank,5,,0,0.0028956311478257613,4
poly(p=1),3.0,Reduced Rank,6,,0,0.0014171373454275882,5
poly(p=1),3.0,Reduced Rank,7,,3,0.002922370550187625,5
poly(p=1),3.0,Reduced Rank,8,,0,0.0019380415541757623,5
poly(p=1),3.0,Reduced Rank,9,,3,0.0022336540889908996,5
poly(p=2),0.5,Principal Components (kDMD),0,,4,0.0001570885872296257,5
poly(p=2),0.5,Principal Components (kDMD),1,,4,3.864808156173183e-05,5
poly(p=2),0.5,Principal Components (kDMD),2,,4,0.00017621883948271133,5
poly(p=2),0.5,Principal Components (kDMD),3,,4,0.00019781958077735862,5
poly(p=2),0.5,Principal Components (kDMD),4,,4,0.0001278905520729623,5
