kernel,kind,method,bias_gap_corr
rbf(gamma=34.69104436867098),damping=1.5,Principal Components (kDMD),
rbf(gamma=34.69104436867098),damping=1.5,Reduced Rank,
rbf(gamma=34.90109085470419),damping=1.0,Principal Components (kDMD),
rbf(gamma=34.90109085470419),damping=1.0,Reduced Rank,
rbf(gamma=35.00960158592937),damping=1.5,Principal Components (kDMD),
rbf(gamma=35.00960158592937),damping=1.5,Reduced Rank,
rbf(gamma=35.70397296398359),damping=1.0,Principal Components (kDMD),
rbf(gamma=35.70397296398359),damping=1.0,Reduced Rank,
rbf(gamma=36.40134302502541),damping=0.1,Principal Components (kDMD),
rbf(gamma=36.40134302502541),damping=0.1,Reduced Rank,
rbf(gamma=36.80389527909014),damping=0.3,Principal Components (kDMD),
rbf(gamma=36.80389527909014),damping=0.3,Reduced Rank,
rbf(gamma=37.288234645542566),damping=1.5,Principal Components (kDMD),
rbf(gamma=37.288234645542566),damping=1.5,Reduced Rank,
rbf(gamma=38.29571074673901),damping=1.0,Principal Components (kDMD),
rbf(gamma=38.29571074673901),damping=1.0,Reduced Rank,
rbf(gamma=38.471492130594925),damping=1.0,Principal Components (kDMD),
rbf(gamma=38.471492130594925),damping=1.0,Reduced Rank,
rbf(gamma=38.744189826840326),damping=1.5,Principal Components (kDMD),
rbf(gamma=38.744189826840326),damping=1.5,Reduced Rank,
rbf(gamma=39.1759215286194),damping=0.3,Principal Components (kDMD),
rbf(gamma=39.1759215286194),damping=0.3,Reduced Rank,
rbf(gamma=39.996022756172565),damping=0.5,Principal Components (kDMD),
rbf(gamma=39.996022756172565),damping=0.5,Reduced Rank,
rbf(gamma=395.7701644291347),damping=0.5,Principal Components (kDMD),
rbf(gamma=395.7701644291347),damping=0.5,Reduced Rank,
rbf(gamma=4.249425319598077),damping=0.5,Principal Components (kDMD),
rbf(gamma=4.249425319598077),damping=0.5,Reduced Rank,
rbf(gamma=4.362636356838023),damping=1.0,Principal Components (kDMD),
rbf(gamma=4.362636356838023),damping=1.0,Reduced Rank,
rbf(gamma=4.4629966204979485),damping=1.0,Principal Components (kDMD),
rbf(gamma=4.4629966204979485),damping=1.0,Reduced Rank,
rbf(gamma=4.516933191650164),damping=0.5,Principal Components (kDMD),
rbf(gamma=4.516933191650164),damping=0.5,Reduced Rank,
rbf(gamma=4.5501678781281765),damping=0.1,Principal Components (kDMD),
rbf(gamma=4.5501678781281765),damping=0.1,Reduced Rank,
rbf(gamma=4.751639004207227),damping=0.0,Principal Components (kDMD),
rbf(gamma=4.751639004207227),damping=0.0,Reduced Rank,
rbf(gamma=4.768291256323298),damping=0.1,Principal Components (kDMD),
rbf(gamma=4.768291256323298),damping=0.1,Reduced Rank,
rbf(gamma=4.7869638433423765),damping=1.0,Principal Components (kDMD),
rbf(gamma=4.7869638433423765),damping=1.0,Reduced Rank,
rbf(gamma=4.808936516324366),damping=1.0,Principal Components (kDMD),
rbf(gamma=4.808936516324366),damping=1.0,Reduced Rank,
rbf(gamma=4.843023728355041),damping=1.5,Principal Components (kDMD),
rbf(gamma=4.843023728355041),damping=1.5,Reduced Rank,
rbf(gamma=4.895440895243424),damping=0.5,Principal Components (kDMD),
rbf(gamma=4.895440895243424),damping=0.5,Reduced Rank,
rbf(gamma=4.896990191077425),damping=0.3,Principal Components (kDMD),
rbf(gamma=4.896990191077425),damping=0.3,Reduced Rank,
rbf(gamma=4.999502844521571),damping=0.5,Principal Components (kDMD),
rbf(gamma=4.999502844521571),damping=0.5,Reduced Rank,
rbf(gamma=408.5046011385549),damping=1.0,Principal Components (kDMD),
rbf(gamma=408.5046011385549),damping=1.0,Reduced Rank,
rbf(gamma=41.1725622957997),damping=1.5,Principal Components (kDMD),
rbf(gamma=41.1725622957997),damping=1.5,Reduced Rank,
rbf(gamma=41.55336724280952),damping=0.3,Principal Components (kDMD),
rbf(gamma=41.55336724280952),damping=0.3,Reduced Rank,
rbf(gamma=45.68897917162814),damping=0.1,Principal Components (kDMD),
rbf(gamma=45.68897917162814),damping=0.1,Reduced Rank,
rbf(gamma=46.34287730011031),damping=0.1,Principal Components (kDMD),
rbf(gamma=46.34287730011031),damping=0.1,Reduced Rank,
rbf(gamma=47.29929492812833),damping=1.0,Principal Components (kDMD),
rbf(gamma=47.29929492812833),damping=1.0,Reduced Rank,
rbf(gamma=49.47127055364184),damping=0.5,Principal Components (kDMD),
rbf(gamma=49.47127055364184),damping=0.5,Reduced Rank,
rbf(gamma=5.1615471362792675),damping=0.3,Principal Components (kDMD),
rbf(gamma=5.1615471362792675),damping=0.3,Reduced Rank,
rbf(gamma=5.19417090535119),damping=0.3,Principal Components (kDMD),
rbf(gamma=5.19417090535119),damping=0.3,Reduced Rank,
rbf(gamma=5.215606934441197),damping=0.5,Principal Components (kDMD),
rbf(gamma=5.215606934441197),damping=0.5,Reduced Rank,
rbf(gamma=5.298565097305011),damping=0.3,Principal Components (kDMD),
rbf(gamma=5.298565097305011),damping=0.3,Reduced Rank,
rbf(gamma=5.502553181472091),damping=0.1,Principal Components (kDMD),
rbf(gamma=5.502553181472091),damping=0.1,Reduced Rank,
rbf(gamma=5.711122396453518),damping=0.1,Principal Components (kDMD),
rbf(gamma=5.711122396453518),damping=0.1,Reduced Rank,
rbf(gamma=5.792859662513789),damping=0.1,Principal Components (kDMD),
rbf(gamma=5.792859662513789),damping=0.1,Reduced Rank,
rbf(gamma=5.81063556665873),damping=0.3,Principal Components (kDMD),
rbf(gamma=5.81063556665873),damping=0.3,Reduced Rank,
rbf(gamma=5.912411866016042),damping=1.0,Principal Components (kDMD),
rbf(gamma=5.912411866016042),damping=1.0,Reduced Rank,
rbf(gamma=50.21970982325949),damping=1.0,Principal Components (kDMD),
rbf(gamma=50.21970982325949),damping=1.0,Reduced Rank,
rbf(gamma=50.735979565627545),damping=1.5,Principal Components (kDMD),
rbf(gamma=50.735979565627545),damping=1.5,Reduced Rank,
rbf(gamma=51.16041654668083),damping=0.3,Principal Components (kDMD),
rbf(gamma=51.16041654668083),damping=0.3,Reduced Rank,
rbf(gamma=51.36326700735482),damping=1.5,Principal Components (kDMD),
rbf(gamma=51.36326700735482),damping=1.5,Reduced Rank,
rbf(gamma=519.7336645637017),damping=1.5,Principal Components (kDMD),
rbf(gamma=519.7336645637017),damping=1.5,Reduced Rank,
rbf(gamma=54.50736396691754),damping=1.0,Principal Components (kDMD),
rbf(gamma=54.50736396691754),damping=1.0,Reduced Rank,
rbf(gamma=54.51879780049458),damping=1.5,Principal Components (kDMD),
rbf(gamma=54.51879780049458),damping=1.5,Reduced Rank,
rbf(gamma=54.96231436360715),damping=1.5,Principal Components (kDMD),
rbf(gamma=54.96231436360715),damping=1.5,Reduced Rank,
rbf(gamma=58.56149038079662),damping=1.0,Principal Components (kDMD),
rbf(gamma=58.56149038079662),damping=1.0,Reduced Rank,
rbf(gamma=6.230925570567944),damping=0.5,Principal Components (kDMD),
rbf(gamma=6.230925570567944),damping=0.5,Reduced Rank,
rbf(gamma=6.277463727907437),damping=1.0,Principal Components (kDMD),
rbf(gamma=6.277463727907437),damping=1.0,Reduced Rank,
rbf(gamma=6.341997445703443),damping=1.5,Principal Components (kDMD),
rbf(gamma=6.341997445703443),damping=1.5,Reduced Rank,
rbf(gamma=6.3950520683351035),damping=0.3,Principal Components (kDMD),
rbf(gamma=6.3950520683351035),damping=0.3,Reduced Rank,
rbf(gamma=6.420408375919353),damping=1.5,Principal Components (kDMD),
rbf(gamma=6.420408375919353),damping=1.5,Reduced Rank,
rbf(gamma=6.444131868220783),damping=0.5,Principal Components (kDMD),
rbf(gamma=6.444131868220783),damping=0.5,Reduced Rank,
rbf(gamma=6.45234411105381),damping=0.1,Principal Components (kDMD),
rbf(gamma=6.45234411105381),damping=0.1,Reduced Rank,
rbf(gamma=6.801431710358582),damping=1.0,Principal Components (kDMD),
rbf(gamma=6.801431710358582),damping=1.0,Reduced Rank,
rbf(gamma=6.813420495864692),damping=1.0,Principal Components (kDMD),
rbf(gamma=6.813420495864692),damping=1.0,Reduced Rank,
rbf(gamma=6.839963894684517),damping=0.5,Principal Components (kDMD),
rbf(gamma=6.839963894684517),damping=0.5,Reduced Rank,
rbf(gamma=6.870289295450894),damping=1.5,Principal Components (kDMD),
rbf(gamma=6.870289295450894),damping=1.5,Reduced Rank,
rbf(gamma=66.42250542135203),damping=0.1,Principal Components (kDMD),
rbf(gamma=66.42250542135203),damping=0.1,Reduced Rank,
rbf(gamma=69.38208873734196),damping=1.5,Principal Components (kDMD),
rbf(gamma=69.38208873734196),damping=1.5,Reduced Rank,
rbf(gamma=7.002537069815676),damping=0.5,Principal Components (kDMD),
rbf(gamma=7.002537069815676),damping=0.5,Reduced Rank,
rbf(gamma=7.145670285700344),damping=0.3,Principal Components (kDMD),
rbf(gamma=7.145670285700344),damping=0.3,Reduced Rank,
rbf(gamma=7.28744528104797),damping=0.3,Principal Components (kDMD),
rbf(gamma=7.28744528104797),damping=0.3,Reduced Rank,
rbf(gamma=7.341649455142619),damping=0.1,Principal Components (kDMD),
rbf(gamma=7.341649455142619),damping=0.1,Reduced Rank,
rbf(gamma=7.9093905398623345),damping=0.1,Principal Components (kDMD),
rbf(gamma=7.9093905398623345),damping=0.1,Reduced Rank,
rbf(gamma=7.926180140886646),damping=0.3,Principal Components (kDMD),
rbf(gamma=7.926180140886646),damping=0.3,Reduced Rank,
rbf(gamma=7.977391636216107),damping=0.1,Principal Components (kDMD),
rbf(gamma=7.977391636216107),damping=0.1,Reduced Rank,
rbf(gamma=70.01920317185873),damping=1.5,Principal Components (kDMD),
rbf(gamma=70.01920317185873),damping=1.5,Reduced Rank,
rbf(gamma=73.60779055818028),damping=0.3,Principal Components (kDMD),
rbf(gamma=73.60779055818028),damping=0.3,Reduced Rank,
rbf(gamma=74.57646929108513),damping=1.5,Principal Components (kDMD),
rbf(gamma=74.57646929108513),damping=1.5,Reduced Rank,
rbf(gamma=76.59142149347802),damping=1.0,Principal Components (kDMD),
rbf(gamma=76.59142149347802),damping=1.0,Reduced Rank,
rbf(gamma=77.48837965368065),damping=1.5,Principal Components (kDMD),
rbf(gamma=77.48837965368065),damping=1.5,Reduced Rank,
rbf(gamma=79.99204551234513),damping=0.5,Principal Components (kDMD),
rbf(gamma=79.99204551234513),damping=0.5,Reduced Rank,
rbf(gamma=8.498850639196155),damping=0.5,Principal Components (kDMD),
rbf(gamma=8.498850639196155),damping=0.5,Reduced Rank,
rbf(gamma=8.725272713676047),damping=1.0,Principal Components (kDMD),
rbf(gamma=8.725272713676047),damping=1.0,Reduced Rank,
rbf(gamma=8.752400396482342),damping=1.5,Principal Components (kDMD),
rbf(gamma=8.752400396482342),damping=1.5,Reduced Rank,
rbf(gamma=8.925993240995897),damping=1.0,Principal Components (kDMD),
rbf(gamma=8.925993240995897),damping=1.0,Reduced Rank,
rbf(gamma=817.0092022771098),damping=1.0,Principal Components (kDMD),
rbf(gamma=817.0092022771098),damping=1.0,Reduced Rank,
rbf(gamma=82.3451245915994),damping=1.5,Principal Components (kDMD),
rbf(gamma=82.3451245915994),damping=1.5,Reduced Rank,
rbf(gamma=9.033866383300328),damping=0.5,Principal Components (kDMD),
rbf(gamma=9.033866383300328),damping=0.5,Reduced Rank,
rbf(gamma=9.100335756256353),damping=0.1,Principal Components (kDMD),
rbf(gamma=9.100335756256353),damping=0.1,Reduced Rank,
rbf(gamma=9.322058661385642),damping=1.5,Principal Components (kDMD),
rbf(gamma=9.322058661385642),damping=1.5,Reduced Rank,
rbf(gamma=9.503278008414455),damping=0.0,Principal Components (kDMD),
rbf(gamma=9.503278008414455),damping=0.0,Reduced Rank,
rbf(gamma=9.536582512646596),damping=0.1,Principal Components (kDMD),
rbf(gamma=9.536582512646596),damping=0.1,Reduced Rank,
rbf(gamma=9.573927686684753),damping=1.0,Principal Components (kDMD),
rbf(gamma=9.573927686684753),damping=1.0,Reduced Rank,
rbf(gamma=9.617873032648731),damping=1.0,Principal Components (kDMD),
rbf(gamma=9.617873032648731),damping=1.0,Reduced Rank,
rbf(gamma=9.686047456710082),damping=1.5,Principal Components (kDMD),
rbf(gamma=9.686047456710082),damping=1.5,Reduced Rank,
rbf(gamma=9.790881790486848),damping=0.5,Principal Components (kDMD),
rbf(gamma=9.790881790486848),damping=0.5,Reduced Rank,
rbf(gamma=9.79398038215485),damping=0.3,Principal Components (kDMD),
rbf(gamma=9.79398038215485),damping=0.3,Reduced Rank,
rbf(gamma=9.999005689043141),damping=0.5,Principal Components (kDMD),
rbf(gamma=9.999005689043141),damping=0.5,Reduced Rank,
rbf(gamma=98.94254110728367),damping=0.5,Principal Components (kDMD),
rbf(gamma=98.94254110728367),damping=0.5,Reduced Rank,
