kernel,kind,method,bias_gap_corr
rbf(gamma=1.3039017336102992),damping=0.5,Principal Components (kDMD),
rbf(gamma=1.3039017336102992),damping=0.5,Reduced Rank,
rbf(gamma=1.3246412743262528),damping=0.3,Principal Components (kDMD),
rbf(gamma=1.3246412743262528),damping=0.3,Reduced Rank,
rbf(gamma=1.3389274715268047),damping=0.0,Principal Components (kDMD),
rbf(gamma=1.3389274715268047),damping=0.0,Reduced Rank,
rbf(gamma=1.3756382953680228),damping=0.1,Principal Components (kDMD),
rbf(gamma=1.3756382953680228),damping=0.1,Reduced Rank,
rbf(gamma=1.379737103025444),damping=0.0,Principal Components (kDMD),
rbf(gamma=1.379737103025444),damping=0.0,Reduced Rank,
rbf(gamma=1.4526588916646825),damping=0.3,Principal Components (kDMD),
rbf(gamma=1.4526588916646825),damping=0.3,Reduced Rank,
rbf(gamma=1.504994956313332),damping=0.0,Principal Components (kDMD),
rbf(gamma=1.504994956313332),damping=0.0,Reduced Rank,
rbf(gamma=1.557731392641986),damping=0.5,Principal Components (kDMD),
rbf(gamma=1.557731392641986),damping=0.5,Reduced Rank,
rbf(gamma=1.5700422618018282),damping=0.0,Principal Components (kDMD),
rbf(gamma=1.5700422618018282),damping=0.0,Reduced Rank,
rbf(gamma=1.6110329670551957),damping=0.5,Principal Components (kDMD),
rbf(gamma=1.6110329670551957),damping=0.5,Reduced Rank,
rbf(gamma=1.6130860277634524),damping=0.1,Principal Components (kDMD),
rbf(gamma=1.6130860277634524),damping=0.1,Reduced Rank,
rbf(gamma=1.6361600995680297),damping=0.0,Principal Components (kDMD),
rbf(gamma=1.6361600995680297),damping=0.0,Reduced Rank,
rbf(gamma=1.7003579275896454),damping=1.0,Principal Components (kDMD),
rbf(gamma=1.7003579275896454),damping=1.0,Reduced Rank,
rbf(gamma=1.7099909736711292),damping=0.5,Principal Components (kDMD),
rbf(gamma=1.7099909736711292),damping=0.5,Reduced Rank,
rbf(gamma=1.750634267453919),damping=0.5,Principal Components (kDMD),
rbf(gamma=1.750634267453919),damping=0.5,Reduced Rank,
rbf(gamma=1.7610876510456865),damping=0.0,Principal Components (kDMD),
rbf(gamma=1.7610876510456865),damping=0.0,Reduced Rank,
rbf(gamma=1.786417571425086),damping=0.3,Principal Components (kDMD),
rbf(gamma=1.786417571425086),damping=0.3,Reduced Rank,
rbf(gamma=1.8218613202619924),damping=0.3,Principal Components (kDMD),
rbf(gamma=1.8218613202619924),damping=0.3,Reduced Rank,
rbf(gamma=1.8354123637856548),damping=0.1,Principal Components (kDMD),
rbf(gamma=1.8354123637856548),damping=0.1,Reduced Rank,
rbf(gamma=1.9764713981946294),damping=0.0,Principal Components (kDMD),
rbf(gamma=1.9764713981946294),damping=0.0,Reduced Rank,
rbf(gamma=1.9773476349655836),damping=0.1,Principal Components (kDMD),
rbf(gamma=1.9773476349655836),damping=0.1,Reduced Rank,
rbf(gamma=1.9815450352216615),damping=0.3,Principal Components (kDMD),
rbf(gamma=1.9815450352216615),damping=0.3,Reduced Rank,
rbf(gamma=1.9943479090540268),damping=0.1,Principal Components (kDMD),
rbf(gamma=1.9943479090540268),damping=0.1,Reduced Rank,
rbf(gamma=10.323094272558535),damping=0.3,Principal Components (kDMD),
rbf(gamma=10.323094272558535),damping=0.3,Reduced Rank,
rbf(gamma=10.38834181070238),damping=0.3,Principal Components (kDMD),
rbf(gamma=10.38834181070238),damping=0.3,Reduced Rank,
rbf(gamma=10.431213868882393),damping=0.5,Principal Components (kDMD),
rbf(gamma=10.431213868882393),damping=0.5,Reduced Rank,
rbf(gamma=10.597130194610022),damping=0.3,Principal Components (kDMD),
rbf(gamma=10.597130194610022),damping=0.3,Reduced Rank,
rbf(gamma=100.43941964651899),damping=1.0,Principal Components (kDMD),
rbf(gamma=100.43941964651899),damping=1.0,Reduced Rank,
rbf(gamma=101.47195913125509),damping=1.5,Principal Components (kDMD),
rbf(gamma=101.47195913125509),damping=1.5,Reduced Rank,
rbf(gamma=102.12615028463873),damping=1.0,Principal Components (kDMD),
rbf(gamma=102.12615028463873),damping=1.0,Reduced Rank,
rbf(gamma=102.72653401470964),damping=1.5,Principal Components (kDMD),
rbf(gamma=102.72653401470964),damping=1.5,Reduced Rank,
rbf(gamma=1039.4673291274034),damping=1.5,Principal Components (kDMD),
rbf(gamma=1039.4673291274034),damping=1.5,Reduced Rank,
rbf(gamma=109.03759560098916),damping=1.5,Principal Components (kDMD),
rbf(gamma=109.03759560098916),damping=1.5,Reduced Rank,
rbf(gamma=109.9246287272143),damping=1.5,Principal Components (kDMD),
rbf(gamma=109.9246287272143),damping=1.5,Reduced Rank,
rbf(gamma=11.005106362944183),damping=0.1,Principal Components (kDMD),
rbf(gamma=11.005106362944183),damping=0.1,Reduced Rank,
rbf(gamma=11.422244792907035),damping=0.1,Principal Components (kDMD),
rbf(gamma=11.422244792907035),damping=0.1,Reduced Rank,
rbf(gamma=11.585719325027577),damping=0.1,Principal Components (kDMD),
rbf(gamma=11.585719325027577),damping=0.1,Reduced Rank,
rbf(gamma=11.62127113331746),damping=0.3,Principal Components (kDMD),
