kernel,kind,method,eigenfunction_id,n,bias_mean,bias_std,dist_mean,trunc_mean,spurious_mean,spurious_std
linear,N/A,PCR,1,10,0.0,0.0,6.420097197216518,0.0,0.40189746283745914,0.05491351582799753
linear,N/A,PCR,2,10,0.0,0.0,0.0,0.0,1.0011148872273903,0.0020584447676360016
linear,N/A,PCR,3,8,0.0,0.0,0.0,0.0,1.0003191949415218,0.00037281937972206784
linear,N/A,Reduced Rank,1,10,5.567323984831888e-16,3.7107060388658074e-16,0.2626841962522814,2.4549193300116035e-15,0.4321463640108316,0.05611260669287631
linear,N/A,Reduced Rank,2,10,0.0,0.0,0.0,2.4549193300116035e-15,1.0015057302372454,0.0026520104256136097
linear,N/A,Reduced Rank,3,10,9.287771177753944e-15,1.0526787946899776e-14,4.091856809900236,2.4549193300116035e-15,1.000318833277839,0.0003408250837021163
