kernel,kind,method,bias_gap_corr
rbf(gamma=0.22157755017759778),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.22157755017759778),omega=1.5,Reduced Rank,
rbf(gamma=0.2303772460537966),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.2303772460537966),omega=1.0,Reduced Rank,
rbf(gamma=0.2304323379973673),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.2304323379973673),omega=1.2,Reduced Rank,
rbf(gamma=0.23806951525831982),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.23806951525831982),omega=0.5,Reduced Rank,
rbf(gamma=0.23888288013900327),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.23888288013900327),omega=1.2,Reduced Rank,
rbf(gamma=0.2409772353609663),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.2409772353609663),omega=1.0,Reduced Rank,
rbf(gamma=0.24427744697344472),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.24427744697344472),omega=1.2,Reduced Rank,
rbf(gamma=0.25265872028132885),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.25265872028132885),omega=1.2,Reduced Rank,
rbf(gamma=0.2545512770535249),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.2545512770535249),omega=0.5,Reduced Rank,
rbf(gamma=0.2586228563616837),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.2586228563616837),omega=0.5,Reduced Rank,
rbf(gamma=0.2624337080999149),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.2624337080999149),omega=0.5,Reduced Rank,
rbf(gamma=0.2640402007709872),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.2640402007709872),omega=0.5,Reduced Rank,
rbf(gamma=0.26499594084657774),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.26499594084657774),omega=0.5,Reduced Rank,
rbf(gamma=0.26613940207275383),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.26613940207275383),omega=0.5,Reduced Rank,
rbf(gamma=0.2798753436130964),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.2798753436130964),omega=1.0,Reduced Rank,
rbf(gamma=0.28078368544787685),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.28078368544787685),omega=0.5,Reduced Rank,
rbf(gamma=0.282937771483782),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.282937771483782),omega=1.5,Reduced Rank,
rbf(gamma=0.2906202833463132),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.2906202833463132),omega=1.0,Reduced Rank,
rbf(gamma=0.293471242170321),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.293471242170321),omega=1.5,Reduced Rank,
rbf(gamma=0.2944879783352341),omega=2.0,Principle Components (kDMD),
rbf(gamma=0.2944879783352341),omega=2.0,Reduced Rank,
rbf(gamma=0.30173383683309535),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.30173383683309535),omega=1.5,Reduced Rank,
rbf(gamma=0.30175088789592514),omega=0.8,Principle Components (kDMD),
rbf(gamma=0.30175088789592514),omega=0.8,Reduced Rank,
rbf(gamma=0.3025176336059173),omega=2.0,Principle Components (kDMD),
rbf(gamma=0.3025176336059173),omega=2.0,Reduced Rank,
rbf(gamma=0.3025738836159259),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.3025738836159259),omega=1.0,Reduced Rank,
rbf(gamma=0.31908367595254716),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.31908367595254716),omega=1.5,Reduced Rank,
rbf(gamma=0.32111787760956345),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.32111787760956345),omega=1.5,Reduced Rank,
rbf(gamma=0.321800977869651),omega=0.8,Principle Components (kDMD),
rbf(gamma=0.321800977869651),omega=0.8,Reduced Rank,
rbf(gamma=0.33069969024156304),omega=0.8,Principle Components (kDMD),
rbf(gamma=0.33069969024156304),omega=0.8,Reduced Rank,
rbf(gamma=0.33079508351849396),omega=2.0,Principle Components (kDMD),
rbf(gamma=0.33079508351849396),omega=2.0,Reduced Rank,
rbf(gamma=0.34486012945996974),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.34486012945996974),omega=1.5,Reduced Rank,
rbf(gamma=0.34778607122682453),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.34778607122682453),omega=1.2,Reduced Rank,
rbf(gamma=0.3540716452696184),omega=2.0,Principle Components (kDMD),
rbf(gamma=0.3540716452696184),omega=2.0,Reduced Rank,
rbf(gamma=0.35748085434752336),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.35748085434752336),omega=1.5,Reduced Rank,
rbf(gamma=0.3666728838106774),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.3666728838106774),omega=1.0,Reduced Rank,
rbf(gamma=0.37287458174360527),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.37287458174360527),omega=1.5,Reduced Rank,
rbf(gamma=0.3747002699152963),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.3747002699152963),omega=1.0,Reduced Rank,
rbf(gamma=0.37549972000796067),omega=0.8,Principle Components (kDMD),
rbf(gamma=0.37549972000796067),omega=0.8,Reduced Rank,
rbf(gamma=0.37721213704601636),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.37721213704601636),omega=1.5,Reduced Rank,
rbf(gamma=0.3790461873490457),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.3790461873490457),omega=1.2,Reduced Rank,
rbf(gamma=0.3912910653397012),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.3912910653397012),omega=1.0,Reduced Rank,
rbf(gamma=0.40842015917572927),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.40842015917572927),omega=1.2,Reduced Rank,
rbf(gamma=0.4172926884452463),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.4172926884452463),omega=1.2,Reduced Rank,
rbf(gamma=0.42253546860264124),omega=0.8,Principle Components (kDMD),
rbf(gamma=0.42253546860264124),omega=0.8,Reduced Rank,
rbf(gamma=0.4282763281683721),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.4282763281683721),omega=1.0,Reduced Rank,
rbf(gamma=0.43343093973668906),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.43343093973668906),omega=1.2,Reduced Rank,
rbf(gamma=0.43361315287131097),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.43361315287131097),omega=0.5,Reduced Rank,
rbf(gamma=0.4384299088141175),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.4384299088141175),omega=1.2,Reduced Rank,
rbf(gamma=0.43872707860404364),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.43872707860404364),omega=1.0,Reduced Rank,
rbf(gamma=0.44315510035519556),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.44315510035519556),omega=1.5,Reduced Rank,
rbf(gamma=0.4607544921075932),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.4607544921075932),omega=1.0,Reduced Rank,
rbf(gamma=0.4608646759947346),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.4608646759947346),omega=1.2,Reduced Rank,
rbf(gamma=0.47613903051663964),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.47613903051663964),omega=0.5,Reduced Rank,
rbf(gamma=0.47776576027800655),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.47776576027800655),omega=1.2,Reduced Rank,
rbf(gamma=0.4819544707219326),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.4819544707219326),omega=1.0,Reduced Rank,
rbf(gamma=0.48855489394688945),omega=1.2,Principle Components (kDMD),
