kind,method,kernel,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,std_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
0.5,Principal Components (kDMD),poly(p=1),3.0,1.0,0.0,0.0,9.47816220732662,0.0,0.05900501612910763,0.004779687405817409,,3.7,0.000290348828967657,0.0004497487938348642,5.0,-0.8123140338782712,-0.028746551240216158,-2.092001222154093,-0.7354708014091803,-0.83519899533186,-1.8125462703207362,0.0,0.0960209655405864,0.22213090336101865,0.8724207132582368,-3.537541928854665,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,10
0.5,Reduced Rank,poly(p=1),3.0,1.0,4.502079184136166e-15,8.316252010853433e-15,1.910079828705411,2.1570776736126772e-15,0.07108571335767552,0.029518347832649387,,1.9,0.00031392940285045466,0.00039936810569197437,4.6,-0.8123140338782635,-1.9457084727373228,-1.3743450572417972,-0.7354708014091529,-0.8351989953318129,-0.04820319098821032,0.0,-2.385751682277648,0.1688162921806325,0.6186952130990286,-6.867623244054541,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,5
0.8,Principal Components (kDMD),poly(p=1),3.0,1.0,0.0,0.0,10.424882882386905,0.0,0.06514973506305603,0.03657856837386043,,3.9,0.0005883206148239895,0.0005841187039771934,5.0,-0.8123140338782712,0.21105362449667087,-1.7269730005897537,-0.7354708014091803,-0.83519899533186,0.4553265489218917,0.0,0.37177348196483423,-0.4515698294801309,1.5491298634094908,-2.257665889201294,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,12
0.8,Reduced Rank,poly(p=1),3.0,1.0,9.060659113628878e-15,1.5445136690174537e-14,3.3173401839042906,2.336960024050117e-15,0.06990017007263204,0.010397485313440053,,1.4,0.0005578166323926825,0.0004911717514708387,4.7,-0.8123140338782558,-1.5892556251613932,-1.4447724863201348,-0.7354708014091506,-0.8351989953317727,-1.411889052492873,0.0,-3.0751329733382686,-0.38260170466426824,1.0810335971166838,-7.772024984411753,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,3
1.0,Principal Components (kDMD),poly(p=1),3.0,1.0,0.0,0.0,9.224302775265722,0.0,0.07795197075529525,0.04661897656436546,,3.5,5.209260274721128e-05,6.362397134575652e-05,5.0,-0.8123140338782712,-0.09304802687535331,-0.9664537031216179,-0.7354708014091803,-0.83519899533186,1.1714010816147558,0.0,-0.17973155088366208,0.7608174563424903,-1.0721679241988853,-2.2228654467712468,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,13
1.0,Reduced Rank,poly(p=1),3.0,1.0,1.4243421517410168e-15,1.110413266658499e-15,0.6867378123047629,2.1842337633806103e-15,0.07850648802715512,0.041626958947810426,,1.9,0.00010593171660790989,0.0001656613970797427,5.0,-0.8123140338782687,-2.255575615440753,-0.9335124969005462,-0.7354708014091526,-0.8351989953318537,0.8153740542126572,0.0,-2.385751682277648,0.6390896546339115,-0.5582905272509545,-6.579873268977374,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,7
1.2,Principal Components (kDMD),poly(p=1),3.0,1.0,0.0,0.0,9.774038577448078,0.0,0.09180505637691412,0.04721228839080142,,3.7,3.030585603802649e-05,6.055769107535758e-05,5.0,-0.8123140338782712,0.046197629678828345,-0.14350846152555716,-0.7354708014091803,-0.83519899533186,1.2137156450065165,0.0,0.0960209655405864,0.8100763054043918,-1.087610220124434,-0.9535745407992523,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,15
1.2,Reduced Rank,poly(p=1),3.0,1.0,1.305181886071625e-15,2.9463232875380043e-16,0.6309949024971859,2.224453613017043e-15,0.06926683341294114,0.009221012263334966,,1.6,0.00010644189077755329,9.446157959300024e-05,4.8,-0.8123140338782688,-2.2696950488914815,-1.482395973581889,-0.735470801409152,-0.8351989953318583,-1.4957942457475086,0.0,-2.79938045691402,0.6379361739076153,-0.9168646152394211,-8.224517291096124,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,2
1.5,Principal Components (kDMD),poly(p=1),3.0,1.0,0.0,0.0,9.821873930628456,0.0,0.0672071083858384,0.011594907239771109,,3.3,0.0002617515395881398,0.0001788514745318324,5.0,-0.8123140338782712,0.058314113876620194,-1.6047543388117453,-0.7354708014091803,-0.83519899533186,-1.3264898007827122,0.0,-0.4554840673079105,0.28678808141189727,-0.4918631098806648,-3.7019676626187574,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,9
1.5,Reduced Rank,poly(p=1),3.0,1.0,2.4920335394776788e-15,1.412409371094857e-15,1.066159511205085,2.314720592679096e-15,0.07355668085413146,0.014032499143703882,,2.0,0.000431665357266775,0.00029889399176422906,4.9,-0.812314033878267,-2.159469770843146,-1.2275567532574816,-0.7354708014091508,-0.835198995331852,-1.1526425377645368,0.0,-2.2478754240655237,-0.09737937645985706,0.11269091365263015,-7.33242872583986,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,4
