kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
rbf(gamma=50.0),r=0.0,Principal Components (kDMD),0,0,3,0.9516937449020436,5
rbf(gamma=50.0),r=0.0,Principal Components (kDMD),1,0,4,0.9716502099803314,5
rbf(gamma=50.0),r=0.0,Principal Components (kDMD),2,0,4,0.97244547076931,5
rbf(gamma=50.0),r=0.0,Principal Components (kDMD),3,0,4,0.9524852564279322,5
rbf(gamma=50.0),r=0.0,Principal Components (kDMD),4,0,4,0.9728544307345044,5
rbf(gamma=50.0),r=0.0,Principal Components (kDMD),5,1,5,0.9043049155800168,5
rbf(gamma=50.0),r=0.0,Principal Components (kDMD),6,0,4,0.9360292278663498,5
rbf(gamma=50.0),r=0.0,Principal Components (kDMD),7,0,3,0.9611432313828494,5
rbf(gamma=50.0),r=0.0,Principal Components (kDMD),8,1,5,0.9452847470065179,5
rbf(gamma=50.0),r=0.0,Principal Components (kDMD),9,1,5,0.9386318998277385,5
rbf(gamma=0.5),r=0.0,Reduced Rank,0,0,4,0.9557759467353918,5
rbf(gamma=0.5),r=0.0,Reduced Rank,1,1,4,0.9309613276000339,5
rbf(gamma=0.5),r=0.0,Reduced Rank,2,0,3,0.9895017655920693,5
rbf(gamma=0.5),r=0.0,Reduced Rank,3,1,3,0.9454223509923275,5
rbf(gamma=0.5),r=0.0,Reduced Rank,4,1,4,0.90962964468331,5
rbf(gamma=0.5),r=0.0,Reduced Rank,5,1,2,0.8623152526841742,5
rbf(gamma=0.5),r=0.0,Reduced Rank,6,1,4,0.9108695160254292,5
rbf(gamma=0.5),r=0.0,Reduced Rank,7,0,3,0.9630665094327027,5
rbf(gamma=0.5),r=0.0,Reduced Rank,8,1,2,0.9172021660511555,5
rbf(gamma=0.5),r=0.0,Reduced Rank,9,1,4,0.9332550466867576,5
rbf(gamma=1.0),r=0.0,Reduced Rank,0,0,3,0.9565959705957494,5
rbf(gamma=1.0),r=0.0,Reduced Rank,1,0,4,0.9763947140229844,5
rbf(gamma=1.0),r=0.0,Reduced Rank,2,0,3,0.9820480957483337,5
rbf(gamma=1.0),r=0.0,Reduced Rank,3,1,3,0.8682717965819557,5
rbf(gamma=1.0),r=0.0,Reduced Rank,4,0,3,0.9512338091811186,5
rbf(gamma=1.0),r=0.0,Reduced Rank,5,1,4,0.8971680956168264,5
rbf(gamma=1.0),r=0.0,Reduced Rank,6,2,3,0.9201372691710501,5
rbf(gamma=1.0),r=0.0,Reduced Rank,7,1,4,0.915336098178127,5
rbf(gamma=1.0),r=0.0,Reduced Rank,8,1,2,0.8610177045898855,5
rbf(gamma=1.0),r=0.0,Reduced Rank,9,1,3,0.9421067243717871,5
rbf(gamma=2.5),r=0.0,Reduced Rank,0,1,4,0.9425553580426381,5
rbf(gamma=2.5),r=0.0,Reduced Rank,1,1,3,0.9327290083007502,5
rbf(gamma=2.5),r=0.0,Reduced Rank,2,1,3,0.9307472480687206,5
rbf(gamma=2.5),r=0.0,Reduced Rank,3,1,4,0.9039323202756173,5
rbf(gamma=2.5),r=0.0,Reduced Rank,4,1,2,0.9037718430356863,5
rbf(gamma=2.5),r=0.0,Reduced Rank,5,1,2,0.8916472656954599,4
rbf(gamma=2.5),r=0.0,Reduced Rank,6,1,4,0.9077281871635465,5
rbf(gamma=2.5),r=0.0,Reduced Rank,7,1,3,0.8934956241847651,5
rbf(gamma=2.5),r=0.0,Reduced Rank,8,1,4,0.8770917202344587,5
rbf(gamma=2.5),r=0.0,Reduced Rank,9,1,3,0.9415647068639275,5
rbf(gamma=5.0),r=0.0,Reduced Rank,0,0,4,0.9598540924410967,5
rbf(gamma=5.0),r=0.0,Reduced Rank,1,1,3,0.9104596968644345,5
rbf(gamma=5.0),r=0.0,Reduced Rank,2,0,3,0.9752313941845739,5
