kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
poly(p=3),damping=0.3,Reduced Rank,3.0,1.0,0.2785329072508692,0.16227878490545877,10.72626413481294,0.028449313738519992,0.0519371488450453,0.0023281966565739326,0.0,2.2,0.0016455574347697065,7.076641118277906e-05,5.0,1.28894569841029,-0.30574817137149424,-0.36639172804642745,1.1117955766439138,1.4398776929101675,-0.3134134907005835,-0.5957727061917026,0.18235468502049818,0.23312212410521033,1.4093397710874909,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,34
poly(p=2),damping=0.0,Reduced Rank,3.0,1.0,1.8442064690136215e-14,4.197495937687801e-15,8.519724630926545,2.1465683110305545e-15,0.11209997137409533,5.687417638888487e-08,0.0,4.0,7.085444786447681e-10,1.081459079642094e-09,5.0,-0.4842724890572935,-0.4405060408409082,0.9805308651845182,-0.4712255191706519,-0.5196159678141523,-0.3471179961214887,-0.5957727061917026,1.4132488089088608,0.25435416573758324,1.4444405419222262,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,35
poly(p=2),damping=0.0,Principal Components (kDMD),3.0,1.0,0.0,0.0,8.51972463092654,0.0,0.11209997137758318,5.6870294229736716e-08,0.0,4.0,7.085446895871428e-10,1.0814592614761327e-09,5.0,-0.4842724890574109,-0.4405060408409085,0.9805308652626039,-0.4712255191707713,-0.519615967814203,-0.34711799617769074,-0.5957727061917026,1.4132488089088608,0.2543541657375806,1.4444405420055915,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,36
poly(p=3),damping=0.0,Principal Components (kDMD),3.0,1.0,0.01637479830235846,0.016267304669193912,7.95770488028237,0.0022555188830490997,0.11223137526017378,8.535449317542073e-05,0.0,4.0,4.46142078835976e-10,7.176281041291279e-10,5.0,-0.3800259551291774,-0.4748297336926087,0.9834727295379059,-0.34572041888286364,-0.32319053614161736,-0.34588314154631256,-0.5957727061917026,1.4132488089088608,0.25435416912326947,1.6302083368390412,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,37
poly(p=2),damping=1.5,Reduced Rank,3.0,1.0,0.0003687817952241316,0.00020319561150398095,72.20740335208971,3.3917080344832486e-05,0.058322876280233124,0.11936721478092016,0.3,1.2,0.05447346484911555,0.17090053731953195,5.0,-0.4819247212731561,3.449030439607415,-0.22342834642456144,-0.46933825207576174,-0.5171624091875408,1.3809616712439925,-0.23378422648028843,-0.5014753838063702,-0.44849784784525276,1.7011157078590555,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,38
poly(p=1),damping=0.1,Principal Components (kDMD),3.0,1.0,0.0,0.0,13.13100409903285,0.0,0.0894467719812855,5.95372798737585e-09,2.0,3.6,0.0015987631976639993,1.538350422989711e-08,5.0,-0.4842724890574109,-0.15888579540430006,0.47337204536006405,-0.4712255191707713,-0.519615967814203,-0.3471187332973843,1.8174838252177252,1.1397167813781137,0.23372589374411093,1.946511173578647,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,39
poly(p=4),damping=0.0,Principal Components (kDMD),3.0,1.0,0.06165615776752885,0.06090408448877865,7.543743836475441,0.009022075532196404,0.11235436488796167,0.00015782156300569785,0.0,4.0,3.222557443116614e-10,5.325393423373924e-10,5.0,-0.09175218902590025,-0.5001111792359597,0.9862262158511618,0.030794881980859574,0.2157923453396675,-0.34483403497358933,-0.5957727061917026,1.4132488089088608,0.25435417072173144,2.219908163535132,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,40
poly(p=4),damping=0.3,Reduced Rank,3.0,1.0,0.3783275531638601,0.21846364252835163,10.183287253608931,0.0406978662411168,0.05132084334667068,0.0024393308059682504,0.0,2.2,0.0016807446525960224,0.00011493479740401258,5.0,1.9242662531389716,-0.3389088773336235,-0.38018954811533134,1.7933486426692318,2.118302000837411,-0.3118046003886577,-0.5957727061917026,0.18235468502049818,0.23266811576753998,2.504810173171529,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,41
poly(p=1),damping=0.0,Principal Components (kDMD),3.0,1.0,0.0,0.0,9.528322116596215,0.0,0.11210004431801693,8.379867119920776e-11,2.0,3.8,1.511317315738836e-09,2.1654874988831996e-09,5.0,-0.4842724890574109,-0.37890893456582825,0.9805324982497885,-0.4712255191707713,-0.519615967814203,-0.347118818276416,1.8174838252177252,1.2764827951434872,0.25435415537968675,2.541710227309021,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,42
poly(p=2),damping=0.1,Reduced Rank,3.0,1.0,0.2992975850011337,0.13867679190258297,11.685893735171078,0.02746163146903049,0.08921736486140175,0.0016600049186251875,0.0,3.6,0.0016609394617327245,4.185818706025567e-05,5.0,1.4211394295104773,-0.2471416337607786,0.46823608896988184,1.0568374190259668,1.154886924113498,-0.3230869098930966,-0.5957727061917026,1.1397167813781137,0.2329236552030666,3.738883071258459,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,43
poly(p=1),damping=1.5,Reduced Rank,3.0,1.0,2.9004658306406565e-13,6.8030802876767e-13,24.333166376294898,2.655315852780237e-15,0.2651067049129451,0.3428394702024821,2.1,1.1,0.3761927997319633,0.7882539497039497,4.9,-0.4842724890555644,0.5252531104596728,4.406038806079955,-0.4712255191706235,-0.5196159678059884,4.616171988607921,1.9381466517881967,-0.569858390689057,-4.59952965568889,4.294040884307555,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,44
poly(p=3),damping=0.0,Reduced Rank,3.0,1.0,0.2996951612501301,0.1804080225603028,7.957704880282376,0.04039347831309624,0.11223137526396806,8.535448675490123e-05,0.0,4.0,4.4614059113712303e-10,7.176286772625719e-10,5.0,1.4236705108199856,-0.47482973369260834,0.9834727296228521,1.7764114147347863,1.6587857053107304,-0.34588314163926254,-0.5957727061917026,1.4132488089088608,0.2543541691232887,4.990464780043072,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,45
poly(p=3),damping=0.1,Reduced Rank,3.0,1.0,0.48752193430939783,0.22781516298637783,10.926706433693997,0.04772703798427739,0.0880227006200061,0.0037947922344675694,0.0,3.6,0.00170822652312681,5.939936979826389e-05,5.0,2.619428144520635,-0.2935067512196285,0.44148999910210784,2.184476782272172,2.23122030415298,-0.2921815702724693,-0.5957727061917026,1.1397167813781137,0.2323135268251195,5.697698353824206,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,46
poly(p=4),damping=0.1,Reduced Rank,3.0,1.0,0.665217560771274,0.3175758355597904,10.445926817847237,0.06788355834277471,0.08579593488427543,0.007928431949836097,0.0,3.6,0.0017471567308266823,6.230822466660688e-05,5.0,3.750688072784219,-0.3228689432863101,0.3916372669128902,3.3060573321227005,3.315067887756876,-0.23233882232061231,-0.5957727061917026,1.1397167813781137,0.23181122400111612,7.5837418811867865,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,47
poly(p=4),damping=0.0,Reduced Rank,3.0,1.0,0.5658007334583205,0.33706482192254017,7.5437438364751195,0.08078695662619242,0.11235436488844255,0.000157821562170249,0.0,4.0,3.222543121239596e-10,5.325398103905812e-10,5.0,3.117772816660152,-0.5001111792359793,0.9862262158619277,4.02404834864034,3.550394675876469,-0.3448340349856841,-0.5957727061917026,1.4132488089088608,0.2543541707217499,8.259710485195548,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,48
