kind,method,kernel,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank,kvar
damping=0.0,Principal Components (kDMD),hermite(ugly),1.0,0.5,0.0,0.0,10.473870650349593,0.0,0.1746128166081591,0.014469649284597211,0.0,1.0,0.0003196571940543125,8.23695106058796e-06,1.0,-0.2980644460829694,-0.8909639874589981,-0.664986045619397,-0.27021087307734876,-0.32340366238343776,-0.8645652048453727,-0.8844622388763822,-0.5118354065698869,0.0,-3.24017865851532,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,7,hermite(ugly)
damping=0.0,Reduced Rank,hermite(good),3.0,1.0,0.05117823960268478,0.09157574930661222,1894.6568484922102,3.5770048414943764e-05,0.6527115298146504,0.3005423807938004,2.0,2.8,1.5643797143397842,1.2655050591127754,4.7,0.10143582181003039,1.0132113112636414,0.3433425712737928,-0.1473702964440439,0.14106014250883314,0.7035038118300432,0.34253739887120005,1.1548447113059255,-0.04845196703944124,2.8973329719319665,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,28,hermite(good)
damping=0.1,Principal Components (kDMD),hermite(bad),3.0,1.0,2.782030514726402e-06,3.910752478800866e-06,70.42635050003734,1.3346201133289607e-07,0.019882327208736544,0.004526989961041722,0.0,0.4,0.00022031114611789082,1.1738318553104178e-05,5.0,-0.2980427293935219,-0.8303753755410086,-0.9913186126345715,-0.2697525412842074,-0.32338382740539995,-0.9190645482339428,-0.8844622388763822,-1.0673954458618244,0.9340902236413003,-3.607806535600406,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,4,hermite(bad)
damping=0.1,Reduced Rank,hermite(ugly),3.0,1.0,0.0,0.0,0.0,3.60351006389653e-16,1.1875342066228511,0.3424158349936354,3.9,1.4,3.4432042356920602,1.351928993734707,3.9,-0.2980644460829694,-0.9015489922111668,1.4713042141159733,-0.27021087307611125,-0.32340366238343776,0.9330274920687729,1.508187054731403,-0.14146204704192866,-1.2286541621258174,0.2872956959659795,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,20,hermite(ugly)
damping=0.3,Principal Components (kDMD),hermite(ugly),1.0,0.5,0.0,0.0,14.502647003576303,0.0,0.0770328110573876,0.00909575595671867,0.0,0.0,9.537077377663739e-05,9.110549539236927e-05,1.0,-0.2980644460829694,-0.8868924633522051,-0.8707860390423939,-0.27021087307734876,-0.32340366238343776,-0.894021474871214,-0.8844622388763822,-1.4377688053897828,0.0,-4.375204594157879,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,1,hermite(ugly)
damping=0.3,Reduced Rank,hermite(good),3.0,1.0,0.0005343740530951211,0.0016898314049641004,2077.400495236583,3.8231262764337874e-07,0.7585582320064496,0.22940922514263823,2.7,2.0,1.8826495525210123,0.7555157575631483,4.9,-0.29389309163576854,1.1978939786167355,0.566577346594483,-0.26889794492334923,-0.3148329924198407,0.31359703236704217,0.7719872720828539,0.414097992250009,-0.2483763119595928,2.0117237434122153,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,22,hermite(good)
damping=0.5,Principal Components (kDMD),hermite(ugly),1.0,0.5,0.0,0.0,14.271909636278206,0.0,0.07681082338082318,0.011267161783043971,0.0,0.0,0.00015379949447287268,0.0002221162588584793,1.0,-0.2980644460829694,-0.8871256489825118,-0.8712542196099096,-0.27021087307734876,-0.32340366238343776,-0.8821192072872809,-0.8844622388763822,-1.4377688053897828,0.0,-4.372930393459718,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,2,hermite(ugly)
damping=0.5,Reduced Rank,hermite(ugly),3.0,1.0,2.31318920177761e-16,6.120123363343566e-16,1.9080490044475,4.275409519264568e-16,1.4047201393097077,0.44040127284583697,3.9,2.5,4.755866675686892,1.8827375742169294,4.0,-0.2980644460829676,-0.8996206976528629,1.9293577186862971,-0.2702108730758805,-0.32340366238343465,1.470121427484525,1.508187054731403,0.8770646916599569,-2.0532160493500187,1.4877967740384477,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,21,hermite(ugly)
damping=1.0,Principal Components (kDMD),hermite(bad),3.0,1.0,2.8078249847408477e-09,4.80749877164543e-09,315.4993790236441,2.073690745762021e-11,0.050175226970751025,0.022896979534065907,0.0,0.5,0.0018098028798254838,0.0023387387550408765,5.0,-0.29806442416492684,-0.5827019739734418,-0.9274297192429601,-0.2702108018631966,-0.32340363800024474,-0.818371932988358,-0.8844622388763822,-0.9748021059798349,0.9330917686967997,-3.179232752129704,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,9,hermite(bad)
damping=1.0,Reduced Rank,hermite(ugly),3.0,1.0,3.4860854330801674e-16,6.972170866160335e-16,4.0002588183132595,4.877765684822494e-16,1.1296514984629882,0.41547921996701476,3.8,1.5,4.028762321528135,1.0782082967121152,3.9,-0.29806444608296667,-0.8975062882275792,1.3492273512241484,-0.2702108730756736,-0.32340366238343426,1.3335145627020624,1.446837072844024,-0.04886870715993898,-1.5964782619288753,0.14738960375305832,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,19,hermite(ugly)
