kind,kernel,method,trial,data_seed,spurious_ref_count,spurious_residual_count,spectral_gap,rank,vamp2
omega=3.0,encoder(d=4),SSL+Ridge (RRR),1,1,,2,0.009450454512272555,3,2.999553353514215
omega=3.0,encoder(d=4),SSL+CCA,1,1,,2,0.004398019880962778,3,2.999553353514215
omega=3.0,encoder(d=4),SSL+Ridge (PCR),2,2,,2,0.013363812486943294,3,2.9987366206193857
omega=3.0,encoder(d=4),SSL+Ridge (RRR),2,2,,2,0.013389886513629712,3,2.9987366206193857
omega=3.0,encoder(d=4),SSL+CCA,2,2,,2,0.002616056028790781,3,2.9987366206193857
omega=3.0,encoder(d=8),SSL+Ridge (PCR),0,0,,2,0.00391840653042852,3,2.999815059402512
omega=3.0,encoder(d=8),SSL+Ridge (RRR),0,0,,2,0.00402129914633953,3,2.999815059402512
omega=3.0,encoder(d=8),SSL+CCA,0,0,,0,0.0021980748496627234,3,2.999815059402512
omega=3.0,encoder(d=8),SSL+Ridge (PCR),1,1,,2,0.017930582425520702,3,2.9995915580519634
omega=3.0,encoder(d=8),SSL+Ridge (RRR),1,1,,2,0.019156452199671214,3,2.9995915580519634
omega=3.0,encoder(d=8),SSL+CCA,1,1,,2,0.0021037546279126795,3,2.9995915580519634
omega=3.0,encoder(d=8),SSL+Ridge (PCR),2,2,,2,0.008073202264309964,3,2.9997870269523057
omega=3.0,encoder(d=8),SSL+Ridge (RRR),2,2,,2,0.008272033557390257,3,2.9997870269523057
omega=3.0,encoder(d=8),SSL+CCA,2,2,,2,0.005290824253619264,3,2.9997870269523057
omega=3.0,encoder(d=16),SSL+Ridge (PCR),0,0,,2,0.0020521240279065545,3,2.9997866537111197
omega=3.0,encoder(d=16),SSL+Ridge (RRR),0,0,,2,0.0020846473945547173,3,2.9997866537111197
omega=3.0,encoder(d=16),SSL+CCA,0,0,,0,0.0021225613015298794,3,2.9997866537111197
omega=3.0,encoder(d=16),SSL+Ridge (PCR),1,1,,2,0.01331070882863028,3,2.9997054952156104
omega=3.0,encoder(d=16),SSL+Ridge (RRR),1,1,,2,0.013338597316530643,3,2.9997054952156104
omega=3.0,encoder(d=16),SSL+CCA,1,1,,2,0.0021088396459622016,3,2.9997054952156104
omega=3.0,encoder(d=16),SSL+Ridge (PCR),2,2,,2,0.003986440430072791,3,2.999613238669818
omega=3.0,encoder(d=16),SSL+Ridge (RRR),2,2,,2,0.004115117713418437,3,2.999613238669818
omega=3.0,encoder(d=16),SSL+CCA,2,2,,2,0.004392497260380157,3,2.999613238669818
