kernel,kind,method,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,agg_horizon_instab,agg_horizon_sens,system,family,agg_bias_mean_z,agg_dist_mean_z,agg_spurious_mean_z,agg_trunc_mean_z,agg_bias_std_z,agg_spurious_std_z,mean_spurious_ref_count_z,mean_spurious_residual_count_z,mean_spectral_gap_z,agg_horizon_instab_z,agg_horizon_sens_z,score_ssl_only,rank_score_ssl_only
encoder(d=16),all,SSL+CCA,113.50579327202254,39.35129222571412,168.92440086788145,0.672620966691141,0.3103787238123145,0.011108438927414869,1.0,2.0,0.0473725520720742,0.0,0.012739707590500185,langevin,ssl_encoder,1.7777882682931003,1.7268837194306446,-1.1239372002104169,1.7813207324760212,2.0236412502407717,-0.9582594998528853,-0.707106781186548,-0.9296696802013683,1.350684078784679,-0.3535533905932738,-0.6547763873055524,1.9215297820471808,5
encoder(d=16),all,SSL+Ridge (PCR),0.0012228121285038,0.0009849459545866902,11.399825404628523,0.0001147570435809,0.3595248930522009,0.010539388685776349,1.0,2.0,0.05479096715909376,0.0,0.00966634364032615,langevin,ssl_encoder,-0.5877086126953425,-0.846265348532471,-0.46098258049787333,-0.6808415545058258,-0.6251079478297653,-0.9803259296180226,-0.707106781186548,-0.9296696802013683,-0.7109146386123808,-0.3535533905932738,-0.7037296280851181,-5.332699197119771,1
encoder(d=16),all,SSL+Ridge (RRR),0.7438805665914019,0.4941377648439044,23.521290281838176,0.0319784521845657,0.34230274166133257,0.01206445145406375,1.0,2.0,0.050280675216641334,0.0,0.01177171719882303,langevin,ssl_encoder,-0.5722312218316451,-0.6482623641764479,-0.6932998699743985,-0.5641830205405638,-0.5919128288114397,-0.9211875829459599,-0.707106781186548,-0.9296696802013683,0.5425083600435178,-0.3535533905932738,-0.6701947586681093,-4.60987710922639,2
encoder(d=4),all,SSL+CCA,17.93617686017771,9.927546442271996,64.5811604881404,0.2805689381087267,0.4845913614197974,0.05794765586694687,1.3333333333333333,3.0,0.050910927168408594,0.0,0.0950393541958607,langevin,ssl_encoder,-0.2139344317135994,0.022446739094105984,1.2260948511270384,0.34595001699038785,0.043069091196632,0.8580551508080931,1.4142135623730947,1.3522468075656264,0.3673595445406099,-0.3535533905932738,0.6561111228174304,3.978454320750555,8
encoder(d=4),all,SSL+Ridge (PCR),8.113938351614833e-05,6.827017287465197e-05,36.56552641503927,3.2248219106331195e-06,0.5031785987360677,0.07648858184137616,1.3333333333333333,3.0,0.057730420426507105,0.0,0.1609323664406593,langevin,ssl_encoder,-0.5877324057752724,-0.43518599847459505,1.4768263941363766,-0.6812498933821669,-0.6251696511406045,1.5770286453404951,1.4142135623730947,1.3522468075656264,-1.5277970878772429,-0.3535533905932738,1.7056700251816734,2.99881947114735,6
encoder(d=4),all,SSL+Ridge (RRR),0.00051468819677396,0.00054405009742706,44.21681057656295,1.5461107470329843e-05,0.49532569449795727,0.07367888322189493,1.3333333333333333,3.0,0.05531702056096327,0.0,0.16082053322002124,langevin,ssl_encoder,-0.5877233703825887,-0.31020299407006413,1.37089506269518,-0.681205094210939,-0.6251376254264301,1.4680751422728866,1.4142135623730947,1.3522468075656264,-0.8571063798205766,-0.3535533905932738,1.7038887201797912,3.3242362587770744,7
encoder(d=8),all,SSL+CCA,121.1342231063743,33.39474268970496,179.19798780100666,0.6712430674328859,0.3125339852804747,0.01191397519150579,1.0,2.0,0.04716043899789557,8.780260629670522e-09,0.011974172599841697,langevin,ssl_encoder,1.9367688882530192,1.8947017920321225,-1.0948639159828923,1.776276003460487,1.6226937889006912,-0.9270226984350503,-0.707106781186548,-0.9296696802013683,1.4096309072568365,2.8284271247461903,-0.6669700029431556,5.381712043285715,9
encoder(d=8),all,SSL+Ridge (PCR),0.0011121364673168902,0.00092409684790722,14.155050956375183,7.055990171615284e-05,0.37762627241879654,0.03734082510284135,1.0,2.3333333333333335,0.055836204657937594,0.0,0.009805944930993038,langevin,ssl_encoder,-0.5877109192362181,-0.8012589992713748,-0.21680499229808922,-0.6810033679349522,-0.6251120437068668,0.058970728264153956,-0.707106781186548,-0.16903085094570305,-1.0013891216002957,-0.3535533905932738,-0.7015060269412421,-4.166150143507478,3
encoder(d=8),all,SSL+Ridge (RRR),0.49028961741837873,0.4190961362358837,26.300970758119416,0.0180810517771038,0.3578239212199468,0.03129856368937171,1.0,2.3333333333333335,0.05069623058612873,0.0,0.011878552338630716,langevin,ssl_encoder,-0.5775161949114528,-0.6028565460319204,-0.48392774899492474,-0.6150638223524479,-0.5969640334229889,-0.1753339558337112,-0.707106781186548,-0.16903085094570305,0.42702433728484096,-0.3535533905932738,-0.6684930642357177,-3.496025426154245,4
encoder(d=16),omega=0.5,SSL+CCA,40.13917876818973,14.505785102368352,40.13920198492625,0.999999534579862,0.07738022115501392,0.031498158815666574,,1.6666666666666667,0.0003913438846097148,2.274086780706952e-05,0.02242785553917659,duffing,ssl_encoder,1.3760876932491197,1.2062164872413088,-2.279696443224067,1.4123186125911809,2.0050890918014885,0.6823592413983354,0.0,-1.7677669529663707,0.49762298051554044,-0.051284431187062336,-1.7525997369124833,-1.6422105039462385,1
encoder(d=16),omega=0.5,SSL+Ridge (PCR),0.036391138087279604,0.03226047204039503,9.967615206165013,0.0033205065616758,0.11351550076477102,0.03834106109757069,,2.3333333333333335,8.778630141800406e-05,0.0,0.06642144333509295,duffing,ssl_encoder,-0.716755577066422,-1.3471922911081016,0.3925472155205979,-0.7436662688524813,-0.7165260762546688,1.4200041250570876,0.0,0.3535533905932726,1.166488089471055,-0.7387628424217274,0.35196896647810977,-1.3173607154943787,2
encoder(d=16),omega=0.5,SSL+Ridge (RRR),1.3157927932314637,1.3002016957534774,12.383378906210588,0.0930545265900174,0.11351199338116771,0.03897866352442066,,2.3333333333333335,9.183709904243375e-05,0.0,0.06647144785136874,duffing,ssl_encoder,-0.6499874718489885,-1.142747218883515,0.3922878406466817,-0.5495564450339179,-0.4781012174313887,1.4887358047740473,0.0,0.3535533905932726,1.1575624775132414,-0.7387628424217274,0.3543610864495568,-0.8746335523893936,4
encoder(d=16),omega=1.5,SSL+CCA,63.7559513053448,45.877002069070215,63.75604935873128,0.9999988086924524,0.0722920282028248,0.03661343028438016,,1.0,0.0004658524904242334,0.0,0.02618884595495095,duffing,ssl_encoder,1.5402040412629965,1.4731474425392288,-1.5845238074300374,1.412454203210935,2.3937222061433605,0.30958535252666847,0.0,-1.8856180831641265,0.6483057279920011,-0.45896716950557476,-1.61066711857831,-0.8202178396068487,3
encoder(d=16),omega=1.5,SSL+Ridge (PCR),0.0383375921371064,0.05895538112861975,12.658983298301857,0.0057930899402973,0.11512499119189404,0.0376688923886305,,2.3333333333333335,0.0005359368667485359,0.0,0.17853785714745674,duffing,ssl_encoder,-0.7098743876705969,-1.2056899450829452,1.310305776225957,-0.7377467502869243,-0.6334493065258635,0.4670984883410417,0.0,0.9428090415820637,0.600955266563234,-0.45896716950557476,0.6919769805326229,0.4605768496734761,6
encoder(d=16),omega=1.5,SSL+Ridge (RRR),1.225118998014189,1.4293780844657729,16.827648177903196,0.0912239995379177,0.11532876066850895,0.037884386819611,,2.3333333333333335,0.0005565851165405245,0.0,0.1785497915388145,duffing,ssl_encoder,-0.667965234367356,-0.9871416761326924,1.324077363993571,-0.552982551278343,-0.542906281064475,0.4992580546936225,0.0,0.9428090415820637,0.5870048798062346,-0.45896716950557476,0.6921573601466509,0.8510687933878949,7
encoder(d=16),omega=3.0,SSL+CCA,83.56611222658356,26.174067731761944,83.56701389401813,0.9999870764754408,0.06515390808763942,0.01544008345252071,,1.3333333333333333,0.0028746327359573665,0.0,0.03711252176937345,duffing,ssl_encoder,1.0302820783334599,0.7632321644531673,-1.4484098579651614,1.414619683080371,0.5273626674626699,-0.7435826352765875,0.0,-1.632993161855452,1.3205425646196287,-0.612944405228004,-1.5211410540139003,-2.10844810437937,1
encoder(d=16),omega=3.0,SSL+Ridge (PCR),0.00056383200723532,0.00022754678604985,32.19895715458073,1.9627941075255016e-05,0.08946218175766951,0.021116591248990187,,2.0,0.0064497577622031335,0.0,0.12131839478604767,duffing,ssl_encoder,-0.6962306649383962,-0.9214459618821447,-0.1692938405939315,-0.7104079940934335,-0.6040483211639421,-0.29818848410216536,0.0,0.8164965809277264,0.08633807386203636,-0.612944405228004,1.3974063334157283,-0.7236061197312476,4
encoder(d=16),omega=3.0,SSL+Ridge (RRR),0.17949363832251183,0.06636606718929679,32.30683356332689,0.0062905091560447,0.0892090875020094,0.021245306965118158,,2.0,0.0065127874748345665,0.0,0.12167239998567894,duffing,ssl_encoder,-0.6925338712633782,-0.9179080233713672,-0.18261181293182888,-0.6970817641630386,-0.6011893654957291,-0.2880891009632429,0.0,0.8164965809277264,0.06457895947868178,-0.612944405228004,1.409676035201443,-0.7183965156223302,5
encoder(d=4),omega=0.5,SSL+CCA,36.18236483481188,7.897492473320261,36.208911962918954,0.999297423506726,0.1024173382209706,0.011482814021573301,,2.0,0.0003449512080086,0.0,0.06353456962476764,duffing,ssl_encoder,1.1695935340714014,0.8735976854116038,-0.4281741072882718,1.4107998278909697,0.7624595379411545,-1.4752364795097865,0.0,-0.7071067811865495,0.5998455715747973,-0.7387628424217274,0.21386647550655755,1.2101424284337396,7
encoder(d=4),omega=0.5,SSL+Ridge (PCR),0.00113521064342854,0.00109797768328009,26.020354547940805,4.7911752796156875e-05,0.1181791554847941,0.01723198041124754,,2.0,0.0013184310596338668,1.4252355627020208e-05,0.08843126884700489,duffing,ssl_encoder,-0.7185954773539076,0.011344329866002305,0.7374296098660749,-0.7507454435242562,-0.7223859009679299,-0.8554931311558482,0.0,-0.7071067811865495,-1.5451402336788809,-0.30790035793161047,1.4048767255437935,-1.1223645478287099,3
encoder(d=4),omega=0.5,SSL+Ridge (RRR),0.12031566510317748,0.09060174981115568,26.132064753568848,0.0048794332903882,0.11844927820048723,0.017239038954663548,,2.3333333333333335,0.0013184414857720331,1.3812819424141587e-05,0.08840325593837739,duffing,ssl_encoder,-0.712375809674696,0.02079831787708874,0.7574054816979602,-0.7402940473409427,-0.7055555275762934,-0.8547322407876385,0.0,0.3535533905932726,-1.545163206849135,-0.3211879621250254,1.4035366418238235,-0.03107050899359809,5
encoder(d=4),omega=1.5,SSL+CCA,50.756679554564215,16.276168008352776,50.79889055739133,0.9992267414794146,0.08260817169899334,0.022561031000189052,,2.0,0.00024186455163225325,2.488052274207675e-06,0.1859341043635605,duffing,ssl_encoder,1.0811570171555278,0.79384970373486,-0.8873159726703904,1.4107844284084707,0.438012434617124,-1.7875410796352251,0.0,0.23570226039551592,0.7996366352858286,0.5190723909029636,0.8037658584151777,3.3140596285262793,9
encoder(d=4),omega=1.5,SSL+Ridge (PCR),0.00092943798741244,0.00137557508137591,36.186659448421835,2.6840437310485777e-05,0.0965815091983388,0.04363332231017671,,1.6666666666666667,0.0040961853791104995,0.0,0.10533785836461444,duffing,ssl_encoder,-0.7111953925829482,0.02778241202401494,0.057060226235990615,-0.7502176051065792,-0.6372535705914704,1.3572072440268759,0.0,-0.47140452079103135,-1.8044226322333676,-0.45896716950557476,-0.41438756973844976,-3.0684437146691206,2
encoder(d=4),omega=1.5,SSL+Ridge (RRR),0.07674457068176507,0.08832794832421806,36.25692284038634,0.0021940824113912,0.09654681796412376,0.043453268790504526,,1.6666666666666667,0.004225983710371767,0.0,0.10570349695507139,duffing,ssl_encoder,-0.7085181109849568,0.03146607169153986,0.05471564850680425,-0.7455304405980329,-0.6315086782124377,1.3303367440025053,0.0,-0.47140452079103135,-1.8921170828405252,-0.45896716950557476,-0.4088612093365494,-3.1056860356915306,1
