system,kind,kernel,trial,final_train_loss,final_val_loss,method,latent_norm_mean,latent_norm_std,latent_cov_rank,operator_rank
langevin,all,encoder(d=4),0,-0.896071270108223,-0.8804958462715149,SSL+Ridge (PCR),1.0305011544078184,0.663187518896205,4,3
langevin,all,encoder(d=4),0,-0.896071270108223,-0.8804958462715149,SSL+Ridge (RRR),1.0305011544078184,0.663187518896205,4,3
langevin,all,encoder(d=4),0,-0.896071270108223,-0.8804958462715149,SSL+CCA,1.0305011544078184,0.663187518896205,4,3
langevin,all,encoder(d=4),1,-1.8308403193950653,-1.7809488773345947,SSL+Ridge (PCR),1.666836879816809,0.750374160443834,4,3
langevin,all,encoder(d=4),1,-1.8308403193950653,-1.7809488773345947,SSL+Ridge (RRR),1.666836879816809,0.750374160443834,4,3
langevin,all,encoder(d=4),1,-1.8308403193950653,-1.7809488773345947,SSL+CCA,1.666836879816809,0.750374160443834,4,3
langevin,all,encoder(d=4),2,-1.7846772968769073,-1.018049955368042,SSL+Ridge (PCR),1.6006227738581458,0.8157405290858701,4,3
langevin,all,encoder(d=4),2,-1.7846772968769073,-1.018049955368042,SSL+Ridge (RRR),1.6006227738581458,0.8157405290858701,4,3
langevin,all,encoder(d=4),2,-1.7846772968769073,-1.018049955368042,SSL+CCA,1.6006227738581458,0.8157405290858701,4,3
langevin,all,encoder(d=8),0,-1.8354402482509613,-1.5768780708312988,SSL+Ridge (PCR),1.639370048155477,0.761410706887556,6,3
langevin,all,encoder(d=8),0,-1.8354402482509613,-1.5768780708312988,SSL+Ridge (RRR),1.639370048155477,0.761410706887556,6,3
langevin,all,encoder(d=8),0,-1.8354402482509613,-1.5768780708312988,SSL+CCA,1.639370048155477,0.761410706887556,6,3
langevin,all,encoder(d=8),1,-1.8659744262695312,-1.8237454891204834,SSL+Ridge (PCR),1.4398579597781436,0.5436608506353512,6,3
langevin,all,encoder(d=8),1,-1.8659744262695312,-1.8237454891204834,SSL+Ridge (RRR),1.4398579597781436,0.5436608506353512,6,3
langevin,all,encoder(d=8),1,-1.8659744262695312,-1.8237454891204834,SSL+CCA,1.4398579597781436,0.5436608506353512,6,3
langevin,all,encoder(d=8),2,-1.8674502968788147,-1.3009836673736572,SSL+Ridge (PCR),1.2679835867808409,0.4635315544187922,6,3
langevin,all,encoder(d=8),2,-1.8674502968788147,-1.3009836673736572,SSL+Ridge (RRR),1.2679835867808409,0.4635315544187922,6,3
langevin,all,encoder(d=8),2,-1.8674502968788147,-1.3009836673736572,SSL+CCA,1.2679835867808409,0.4635315544187922,6,3
langevin,all,encoder(d=16),0,-1.8710076212882996,-1.6765172481536865,SSL+Ridge (PCR),1.381270852065256,0.48536974456729104,6,3
langevin,all,encoder(d=16),0,-1.8710076212882996,-1.6765172481536865,SSL+Ridge (RRR),1.381270852065256,0.48536974456729104,6,3
langevin,all,encoder(d=16),0,-1.8710076212882996,-1.6765172481536865,SSL+CCA,1.381270852065256,0.48536974456729104,6,3
langevin,all,encoder(d=16),1,-1.883269488811493,-1.8622262477874756,SSL+Ridge (PCR),1.374003602083897,0.43646716935420793,5,3
langevin,all,encoder(d=16),1,-1.883269488811493,-1.8622262477874756,SSL+Ridge (RRR),1.374003602083897,0.43646716935420793,5,3
langevin,all,encoder(d=16),1,-1.883269488811493,-1.8622262477874756,SSL+CCA,1.374003602083897,0.43646716935420793,5,3
langevin,all,encoder(d=16),2,-1.9071608185768127,-1.4091782569885254,SSL+Ridge (PCR),1.3487331481000828,0.40691266602243065,6,3
langevin,all,encoder(d=16),2,-1.9071608185768127,-1.4091782569885254,SSL+Ridge (RRR),1.3487331481000828,0.40691266602243065,6,3
langevin,all,encoder(d=16),2,-1.9071608185768127,-1.4091782569885254,SSL+CCA,1.3487331481000828,0.40691266602243065,6,3
