system,kind,kernel,trial,final_train_loss,final_val_loss,method,latent_norm_mean,latent_norm_std,latent_cov_rank,operator_rank
graph,cycle_12,encoder(d=4),0,-0.9999567121267319,-0.9999101161956787,SSL+Ridge (PCR),1.4443727920062779,0.016686264679357462,4,3
graph,cycle_12,encoder(d=4),0,-0.9999567121267319,-0.9999101161956787,SSL+Ridge (RRR),1.4443727920062779,0.016686264679357462,4,3
graph,cycle_12,encoder(d=4),0,-0.9999567121267319,-0.9999101161956787,SSL+CCA,1.4443727920062779,0.016686264679357462,4,3
graph,cycle_12,encoder(d=4),1,-1.0023011565208435,-1.00252366065979,SSL+Ridge (PCR),1.176122211240714,0.04075780791981024,4,3
graph,cycle_12,encoder(d=4),1,-1.0023011565208435,-1.00252366065979,SSL+Ridge (RRR),1.176122211240714,0.04075780791981024,4,3
graph,cycle_12,encoder(d=4),1,-1.0023011565208435,-1.00252366065979,SSL+CCA,1.176122211240714,0.04075780791981024,4,3
graph,cycle_12,encoder(d=4),2,-1.0023850202560425,-1.0028870105743408,SSL+Ridge (PCR),1.4781422899989143,0.05165518135701993,4,3
graph,cycle_12,encoder(d=4),2,-1.0023850202560425,-1.0028870105743408,SSL+Ridge (RRR),1.4781422899989143,0.05165518135701993,4,3
graph,cycle_12,encoder(d=4),2,-1.0023850202560425,-1.0028870105743408,SSL+CCA,1.4781422899989143,0.05165518135701993,4,3
graph,cycle_12,encoder(d=8),0,-0.9999755769968033,-0.9999566078186035,SSL+Ridge (PCR),1.213492311554026,0.01079056638415175,8,3
graph,cycle_12,encoder(d=8),0,-0.9999755769968033,-0.9999566078186035,SSL+Ridge (RRR),1.213492311554026,0.01079056638415175,8,3
graph,cycle_12,encoder(d=8),0,-0.9999755769968033,-0.9999566078186035,SSL+CCA,1.213492311554026,0.01079056638415175,8,3
graph,cycle_12,encoder(d=8),1,-1.0001570880413055,-1.0001682043075562,SSL+Ridge (PCR),1.2814832801455813,0.00852210572849475,8,3
graph,cycle_12,encoder(d=8),1,-1.0001570880413055,-1.0001682043075562,SSL+Ridge (RRR),1.2814832801455813,0.00852210572849475,8,3
graph,cycle_12,encoder(d=8),1,-1.0001570880413055,-1.0001682043075562,SSL+CCA,1.2814832801455813,0.00852210572849475,8,3
graph,cycle_12,encoder(d=8),2,-0.9999736845493317,-0.9999681711196899,SSL+Ridge (PCR),1.0419792758463695,0.011834323483986902,8,3
