system,kind,kernel,trial,final_train_loss,final_val_loss,method,latent_norm_mean,latent_norm_std,latent_cov_rank,operator_rank
duffing,omega=0.5,encoder(d=4),0,-1.000684916973114,-1.0034558773040771,SSL+Ridge (PCR),1.2057858167789997,0.4614063098185592,4,3
duffing,omega=0.5,encoder(d=4),0,-1.000684916973114,-1.0034558773040771,SSL+Ridge (RRR),1.2057858167789997,0.4614063098185592,4,3
duffing,omega=0.5,encoder(d=4),0,-1.000684916973114,-1.0034558773040771,SSL+CCA,1.2057858167789997,0.4614063098185592,4,3
duffing,omega=0.5,encoder(d=4),1,-2.008102774620056,-1.3184888362884521,SSL+Ridge (PCR),1.4860111065437154,1.042664250354429,4,3
duffing,omega=0.5,encoder(d=4),1,-2.008102774620056,-1.3184888362884521,SSL+Ridge (RRR),1.4860111065437154,1.042664250354429,4,3
duffing,omega=0.5,encoder(d=4),1,-2.008102774620056,-1.3184888362884521,SSL+CCA,1.4860111065437154,1.042664250354429,4,3
duffing,omega=0.5,encoder(d=4),2,-1.0010836124420166,-0.8290624022483826,SSL+Ridge (PCR),1.2821387936259088,0.590909906665859,4,3
duffing,omega=0.5,encoder(d=4),2,-1.0010836124420166,-0.8290624022483826,SSL+Ridge (RRR),1.2821387936259088,0.590909906665859,4,3
duffing,omega=0.5,encoder(d=4),2,-1.0010836124420166,-0.8290624022483826,SSL+CCA,1.2821387936259088,0.590909906665859,4,3
duffing,omega=0.5,encoder(d=8),0,-1.9848479628562927,9.474010467529297,SSL+Ridge (PCR),1.689047365764212,1.1762225223612983,8,3
duffing,omega=0.5,encoder(d=8),0,-1.9848479628562927,9.474010467529297,SSL+Ridge (RRR),1.689047365764212,1.1762225223612983,8,3
duffing,omega=0.5,encoder(d=8),0,-1.9848479628562927,9.474010467529297,SSL+CCA,1.689047365764212,1.1762225223612983,8,3
duffing,omega=0.5,encoder(d=8),1,-2.0152446031570435,-1.1785500049591064,SSL+Ridge (PCR),1.397092941211468,1.065781995523139,8,3
duffing,omega=0.5,encoder(d=8),1,-2.0152446031570435,-1.1785500049591064,SSL+Ridge (RRR),1.397092941211468,1.065781995523139,8,3
duffing,omega=0.5,encoder(d=8),1,-2.0152446031570435,-1.1785500049591064,SSL+CCA,1.397092941211468,1.065781995523139,8,3
duffing,omega=0.5,encoder(d=8),2,-2.0184495747089386,4.645036697387695,SSL+Ridge (PCR),1.2432439692991502,0.849966830800761,8,3
duffing,omega=0.5,encoder(d=8),2,-2.0184495747089386,4.645036697387695,SSL+Ridge (RRR),1.2432439692991502,0.849966830800761,8,3
duffing,omega=0.5,encoder(d=8),2,-2.0184495747089386,4.645036697387695,SSL+CCA,1.2432439692991502,0.849966830800761,8,3
duffing,omega=0.5,encoder(d=16),0,-2.0957188606262207,7.186972618103027,SSL+Ridge (PCR),1.4134273741722858,0.8846654348756127,14,3
duffing,omega=0.5,encoder(d=16),0,-2.0957188606262207,7.186972618103027,SSL+Ridge (RRR),1.4134273741722858,0.8846654348756127,14,3
duffing,omega=0.5,encoder(d=16),0,-2.0957188606262207,7.186972618103027,SSL+CCA,1.4134273741722858,0.8846654348756127,14,3
duffing,omega=0.5,encoder(d=16),1,-2.350943148136139,-1.7870137691497803,SSL+Ridge (PCR),1.736326441027069,1.0017332207631706,11,3
duffing,omega=0.5,encoder(d=16),1,-2.350943148136139,-1.7870137691497803,SSL+Ridge (RRR),1.736326441027069,1.0017332207631706,11,3
duffing,omega=0.5,encoder(d=16),1,-2.350943148136139,-1.7870137691497803,SSL+CCA,1.736326441027069,1.0017332207631706,11,3
duffing,omega=0.5,encoder(d=16),2,-2.001322865486145,4.1981706619262695,SSL+Ridge (PCR),1.2980191530216523,0.8438104113674353,12,3
duffing,omega=0.5,encoder(d=16),2,-2.001322865486145,4.1981706619262695,SSL+Ridge (RRR),1.2980191530216523,0.8438104113674353,12,3
duffing,omega=0.5,encoder(d=16),2,-2.001322865486145,4.1981706619262695,SSL+CCA,1.2980191530216523,0.8438104113674353,12,3
duffing,omega=1.5,encoder(d=4),0,-1.000512719154358,-0.7742706537246704,SSL+Ridge (PCR),1.1423058205092846,0.5762623778450575,4,3
duffing,omega=1.5,encoder(d=4),0,-1.000512719154358,-0.7742706537246704,SSL+Ridge (RRR),1.1423058205092846,0.5762623778450575,4,3
duffing,omega=1.5,encoder(d=4),0,-1.000512719154358,-0.7742706537246704,SSL+CCA,1.1423058205092846,0.5762623778450575,4,3
duffing,omega=1.5,encoder(d=4),1,-1.0000791549682617,-0.6561852693557739,SSL+Ridge (PCR),1.0619766044831158,0.26323114439459283,4,3
duffing,omega=1.5,encoder(d=4),1,-1.0000791549682617,-0.6561852693557739,SSL+Ridge (RRR),1.0619766044831158,0.26323114439459283,4,3
duffing,omega=1.5,encoder(d=4),1,-1.0000791549682617,-0.6561852693557739,SSL+CCA,1.0619766044831158,0.26323114439459283,4,3
duffing,omega=1.5,encoder(d=4),2,-1.001823514699936,-0.9847595691680908,SSL+Ridge (PCR),1.2148445492100337,0.785637006414843,4,3
duffing,omega=1.5,encoder(d=4),2,-1.001823514699936,-0.9847595691680908,SSL+Ridge (RRR),1.2148445492100337,0.785637006414843,4,3
duffing,omega=1.5,encoder(d=4),2,-1.001823514699936,-0.9847595691680908,SSL+CCA,1.2148445492100337,0.785637006414843,4,3
duffing,omega=1.5,encoder(d=8),0,-2.0890303254127502,59.787864685058594,SSL+Ridge (PCR),1.5467736858525063,1.0843055839991977,8,3
duffing,omega=1.5,encoder(d=8),0,-2.0890303254127502,59.787864685058594,SSL+Ridge (RRR),1.5467736858525063,1.0843055839991977,8,3
duffing,omega=1.5,encoder(d=8),0,-2.0890303254127502,59.787864685058594,SSL+CCA,1.5467736858525063,1.0843055839991977,8,3
duffing,omega=1.5,encoder(d=8),1,-1.0003648698329926,-0.24737662076950073,SSL+Ridge (PCR),1.028488675077876,0.25208704950593624,6,3
duffing,omega=1.5,encoder(d=8),1,-1.0003648698329926,-0.24737662076950073,SSL+Ridge (RRR),1.028488675077876,0.25208704950593624,6,3
duffing,omega=1.5,encoder(d=8),1,-1.0003648698329926,-0.24737662076950073,SSL+CCA,1.028488675077876,0.25208704950593624,6,3
duffing,omega=1.5,encoder(d=8),2,-2.0186387300491333,-0.9868854284286499,SSL+Ridge (PCR),1.22394027863931,0.76367466824194,8,3
duffing,omega=1.5,encoder(d=8),2,-2.0186387300491333,-0.9868854284286499,SSL+Ridge (RRR),1.22394027863931,0.76367466824194,8,3
duffing,omega=1.5,encoder(d=8),2,-2.0186387300491333,-0.9868854284286499,SSL+CCA,1.22394027863931,0.76367466824194,8,3
duffing,omega=1.5,encoder(d=16),0,-3.000537157058716,53.12994384765625,SSL+Ridge (PCR),1.784583225818272,0.8423945559145343,14,3
duffing,omega=1.5,encoder(d=16),0,-3.000537157058716,53.12994384765625,SSL+Ridge (RRR),1.784583225818272,0.8423945559145343,14,3
duffing,omega=1.5,encoder(d=16),0,-3.000537157058716,53.12994384765625,SSL+CCA,1.784583225818272,0.8423945559145343,14,3
duffing,omega=1.5,encoder(d=16),1,-1.0331473350524902,-0.6856611967086792,SSL+Ridge (PCR),1.0998238986464188,0.26426959569637865,6,3
duffing,omega=1.5,encoder(d=16),1,-1.0331473350524902,-0.6856611967086792,SSL+Ridge (RRR),1.0998238986464188,0.26426959569637865,6,3
duffing,omega=1.5,encoder(d=16),1,-1.0331473350524902,-0.6856611967086792,SSL+CCA,1.0998238986464188,0.26426959569637865,6,3
duffing,omega=1.5,encoder(d=16),2,-2.1866824626922607,-1.2825121879577637,SSL+Ridge (PCR),1.4737399854049598,0.8778909405314419,11,3
duffing,omega=1.5,encoder(d=16),2,-2.1866824626922607,-1.2825121879577637,SSL+Ridge (RRR),1.4737399854049598,0.8778909405314419,11,3
duffing,omega=1.5,encoder(d=16),2,-2.1866824626922607,-1.2825121879577637,SSL+CCA,1.4737399854049598,0.8778909405314419,11,3
duffing,omega=3.0,encoder(d=4),0,-0.9997463524341583,-0.6242364645004272,SSL+Ridge (PCR),1.2566994665108748,0.3346745662045934,4,3
duffing,omega=3.0,encoder(d=4),0,-0.9997463524341583,-0.6242364645004272,SSL+Ridge (RRR),1.2566994665108748,0.3346745662045934,4,3
duffing,omega=3.0,encoder(d=4),0,-0.9997463524341583,-0.6242364645004272,SSL+CCA,1.2566994665108748,0.3346745662045934,4,3
duffing,omega=3.0,encoder(d=4),1,-0.9994879961013794,-0.6341824531555176,SSL+Ridge (PCR),1.103348501489064,0.14880942807814787,4,3
duffing,omega=3.0,encoder(d=4),1,-0.9994879961013794,-0.6341824531555176,SSL+Ridge (RRR),1.103348501489064,0.14880942807814787,4,3
