kind,kernel,method,trial,spec_radius,ps_radius,ps_margin,henrici
r=0.5,rbf(gamma=320.5917254304333),PCR,0,0.9998630452188743,0.02326941706045741,-0.9765936281584169,0.8594977850277188
r=0.5,rbf(gamma=641.1834508608666),PCR,0,0.9986706094725956,0.02324807074647436,-0.9754225387261212,0.8024711625897665
r=0.5,rbf(gamma=1282.3669017217333),PCR,0,0.9932750256898113,0.0231514820406195,-0.9701235436491918,0.748739707430368
r=0.5,rbf(gamma=301.2214926604617),PCR,1,0.9998609023465211,0.08389893805090183,-0.9159619642956193,0.9919672460071071
r=0.5,rbf(gamma=602.4429853209234),PCR,1,0.9988927524529123,0.051993158658689406,-0.946899593794223,0.8284878844344714
r=0.5,rbf(gamma=1204.8859706418468),PCR,1,0.9934158261850146,0.05177392370193814,-0.9416419024830764,0.7185988288077523
r=0.5,rbf(gamma=313.2057437969978),PCR,2,0.9998285061391484,0.05203061578498568,-0.9477978903541627,0.9052238386484232
r=0.5,rbf(gamma=626.4114875939956),PCR,2,0.9986209706337865,0.05198227955014428,-0.9466386910836423,0.8206335970498071
r=0.5,rbf(gamma=1252.8229751879912),PCR,2,0.9931761004679583,0.05176432776168971,-0.9414117727062686,0.7949159459657261
r=0.5,rbf(gamma=293.23400815002856),PCR,3,0.999807116986223,0.05202975960219506,-0.947777357384028,0.8057443616199159
r=0.5,rbf(gamma=586.4680163000571),PCR,3,0.9982319098747767,0.05196670590271813,-0.9462652039720586,0.7448392251854012
r=0.5,rbf(gamma=1172.9360326001142),PCR,3,0.9937120172690963,0.05178577988482813,-0.9419262373842682,0.7197573411014152
r=0.5,rbf(gamma=332.6790061357261),PCR,4,0.9998883453042161,0.05203301107681969,-0.9478553342273964,0.8932530503998606
r=0.5,rbf(gamma=665.3580122714523),PCR,4,0.9989952247345733,0.02325388182629801,-0.9757413429082752,0.8209274272913815
r=0.5,rbf(gamma=1330.7160245429045),PCR,4,0.9953007488932623,0.05184937495474117,-0.9434513739385211,0.7951074359854217
r=0.5,rbf(gamma=320.5917254304333),Reduced Rank,0,0.9998630452188743,0.02326941706045741,-0.9765936281584169,0.8594977850277188
r=0.5,rbf(gamma=641.1834508608666),Reduced Rank,0,0.9986706094725956,0.02324807074647436,-0.9754225387261212,0.8024711625897665
r=0.5,rbf(gamma=1282.3669017217333),Reduced Rank,0,0.9932750256898113,0.0231514820406195,-0.9701235436491918,0.748739707430368
r=0.5,rbf(gamma=301.2214926604617),Reduced Rank,1,0.9998609023465211,0.08389893805090183,-0.9159619642956193,0.9919672460071071
r=0.5,rbf(gamma=602.4429853209234),Reduced Rank,1,0.9988927524529123,0.051993158658689406,-0.946899593794223,0.8284878844344714
r=0.5,rbf(gamma=1204.8859706418468),Reduced Rank,1,0.9934158261850146,0.05177392370193814,-0.9416419024830764,0.7185988288077523
r=0.5,rbf(gamma=313.2057437969978),Reduced Rank,2,0.9998285061391484,0.05203061578498568,-0.9477978903541627,0.9052238386484232
r=0.5,rbf(gamma=626.4114875939956),Reduced Rank,2,0.9986209706337865,0.05198227955014428,-0.9466386910836423,0.8206335970498071
r=0.5,rbf(gamma=1252.8229751879912),Reduced Rank,2,0.9931761004679583,0.05176432776168971,-0.9414117727062686,0.7949159459657261
r=0.5,rbf(gamma=293.23400815002856),Reduced Rank,3,0.999807116986223,0.05202975960219506,-0.947777357384028,0.8057443616199159
r=0.5,rbf(gamma=586.4680163000571),Reduced Rank,3,0.9982319098747767,0.05196670590271813,-0.9462652039720586,0.7448392251854012
r=0.5,rbf(gamma=1172.9360326001142),Reduced Rank,3,0.9937120172690963,0.05178577988482813,-0.9419262373842682,0.7197573411014152
r=0.5,rbf(gamma=332.6790061357261),Reduced Rank,4,0.9998883453042161,0.05203301107681969,-0.9478553342273964,0.8932530503998606
r=0.5,rbf(gamma=665.3580122714523),Reduced Rank,4,0.9989952247345733,0.02325388182629801,-0.9757413429082752,0.8209274272913815
r=0.5,rbf(gamma=1330.7160245429045),Reduced Rank,4,0.9953007488932623,0.05184937495474117,-0.9434513739385211,0.7951074359854217
r=2.5,rbf(gamma=85.15198786082075),PCR,0,0.9998088861138311,0.05202983041830512,-0.947779055695526,0.9532826040120039
r=2.5,rbf(gamma=170.3039757216415),PCR,0,0.9983487741521719,0.023242309431601018,-0.9751064647205709,0.8543291568621187
r=2.5,rbf(gamma=340.607951443283),PCR,0,0.9922337237462688,0.02313284123896042,-0.9691008825073084,0.719199258382309
r=2.5,rbf(gamma=80.09899595954394),PCR,1,0.9998445645756961,0.05203125858543072,-0.9478133059902655,0.9191986647888881
r=2.5,rbf(gamma=160.19799191908788),PCR,1,0.9986542215897591,0.051983610547046345,-0.9466706110427128,0.8215403644591529
r=2.5,rbf(gamma=320.39598383817577),PCR,1,0.9935621533103393,0.05177978100572898,-0.9417823723046103,0.6982634496670577
r=2.5,rbf(gamma=86.93415506425126),PCR,2,0.9997900512552602,0.023268110363580088,-0.9765219408916801,0.8835765964794575
r=2.5,rbf(gamma=173.86831012850251),PCR,2,0.9981077568384463,0.9981077568384463,0.0,0.8225610702961818
r=2.5,rbf(gamma=347.73662025700503),PCR,2,0.9920727843324024,0.9920727843324024,0.0,0.7107505228720177
r=2.5,rbf(gamma=80.84412797694077),PCR,3,0.9996287854679007,0.05202262119996102,-0.9476061642679396,0.906082123252657
r=2.5,rbf(gamma=161.68825595388154),PCR,3,0.9980688322855411,0.051960178097435805,-0.9461086541881053,0.7897595450074717
r=2.5,rbf(gamma=323.3765119077631),PCR,3,0.9928126784698371,0.0231432053607586,-0.9696694731090785,0.6756911861445744
r=2.5,rbf(gamma=86.99741337588017),PCR,4,1.000047303627333,0.052039373992694406,-0.9480079296346385,0.8523074266886822
r=2.5,rbf(gamma=173.99482675176034),PCR,4,0.9990766547814052,0.023255339541191744,-0.9758213152402134,0.8046927288686087
r=2.5,rbf(gamma=347.9896535035207),PCR,4,0.9933133293165427,0.023152167730599506,-0.9701611615859432,0.6911079882268744
r=2.5,rbf(gamma=85.15198786082075),Reduced Rank,0,0.9998088861138311,0.05202983041830512,-0.947779055695526,0.9532826040120039
r=2.5,rbf(gamma=170.3039757216415),Reduced Rank,0,0.9983487741521719,0.023242309431601018,-0.9751064647205709,0.8543291568621187
r=2.5,rbf(gamma=340.607951443283),Reduced Rank,0,0.9922337237462688,0.02313284123896042,-0.9691008825073084,0.719199258382309
r=2.5,rbf(gamma=80.09899595954394),Reduced Rank,1,0.9998445645756961,0.05203125858543072,-0.9478133059902655,0.9191986647888881
r=2.5,rbf(gamma=160.19799191908788),Reduced Rank,1,0.9986542215897591,0.051983610547046345,-0.9466706110427128,0.8215403644591529
r=2.5,rbf(gamma=320.39598383817577),Reduced Rank,1,0.9935621533103393,0.05177978100572898,-0.9417823723046103,0.6982634496670577
r=2.5,rbf(gamma=86.93415506425126),Reduced Rank,2,0.9997900512552602,0.023268110363580088,-0.9765219408916801,0.8835765964794575
r=2.5,rbf(gamma=173.86831012850251),Reduced Rank,2,0.9981077568384463,0.9981077568384463,0.0,0.8225610702961818
r=2.5,rbf(gamma=347.73662025700503),Reduced Rank,2,0.9920727843324024,0.9920727843324024,0.0,0.7107505228720177
r=2.5,rbf(gamma=80.84412797694077),Reduced Rank,3,0.9996287854679007,0.05202262119996102,-0.9476061642679396,0.906082123252657
r=2.5,rbf(gamma=161.68825595388154),Reduced Rank,3,0.9980688322855411,0.051960178097435805,-0.9461086541881053,0.7897595450074717
r=2.5,rbf(gamma=323.3765119077631),Reduced Rank,3,0.9928126784698371,0.0231432053607586,-0.9696694731090785,0.6756911861445744
r=2.5,rbf(gamma=86.99741337588017),Reduced Rank,4,1.000047303627333,0.052039373992694406,-0.9480079296346385,0.8523074266886822
r=2.5,rbf(gamma=173.99482675176034),Reduced Rank,4,0.9990766547814052,0.023255339541191744,-0.9758213152402134,0.8046927288686087
r=2.5,rbf(gamma=347.9896535035207),Reduced Rank,4,0.9933133293165427,0.023152167730599506,-0.9701611615859432,0.6911079882268744
r=4.0,rbf(gamma=1.8846347645997783),PCR,0,0.9999995103842064,0.0839078844444322,-0.9160916259397742,0.7543891311833625
r=4.0,rbf(gamma=3.7692695291995566),PCR,0,0.9999942723613862,0.052037251213104416,-0.9479570211482817,0.4955550469472529
r=4.0,rbf(gamma=7.538539058399113),PCR,0,0.9999131574339907,0.052034004277372856,-0.9478791531566179,0.32690392402192747
r=4.0,rbf(gamma=1.9386183878958314),PCR,1,1.0000002764987577,0.05203749155170569,-0.947962784947052,0.7051732600141319
r=4.0,rbf(gamma=3.877236775791663),PCR,1,0.9999984470508838,0.023271840947890227,-0.9767266061029936,0.49691768748694837
r=4.0,rbf(gamma=7.754473551583326),PCR,1,0.999928115114543,0.02327058190512777,-0.9766575332094153,0.32830766220574753
r=4.0,rbf(gamma=1.9226797265909632),PCR,2,1.000000083257974,0.06981561071504727,-0.9301844725429268,0.7466607282227328
r=4.0,rbf(gamma=3.8453594531819264),PCR,2,0.9999976608866348,0.02327182687441986,-0.9767258340122149,0.51235329807795
r=4.0,rbf(gamma=7.690718906363853),PCR,2,0.999928444991517,0.02327058781039969,-0.9766578571811173,0.3327371554952407
r=4.0,rbf(gamma=1.8433495171678558),PCR,3,0.9999999448014317,0.06981560327933384,-0.9301843415220978,0.7857021193864574
r=4.0,rbf(gamma=3.6866990343357116),PCR,3,0.9999971153478151,0.052037365014528304,-0.9479597503332868,0.5394576752127872
r=4.0,rbf(gamma=7.373398068671423),PCR,3,0.9999326255552288,0.023270662648499696,-0.976661962906729,0.3463237550639614
r=4.0,rbf(gamma=1.9330961511108442),PCR,4,0.9999999116274404,0.08390791034249646,-0.916092001284944,0.8604745050011885
r=4.0,rbf(gamma=3.8661923022216884),PCR,4,0.9999960132424328,0.05203732089853807,-0.9479586923438947,0.5245126250634641
r=4.0,rbf(gamma=7.732384604443377),PCR,4,0.9999159607598321,0.052034116491229514,-0.9478818442686027,0.3519458780048728
r=4.0,rbf(gamma=1.8846347645997783),Reduced Rank,0,0.9999995103842064,0.0839078844444322,-0.9160916259397742,0.7543891311833625
r=4.0,rbf(gamma=3.7692695291995566),Reduced Rank,0,0.9999942723613862,0.052037251213104416,-0.9479570211482817,0.4955550469472529
r=4.0,rbf(gamma=7.538539058399113),Reduced Rank,0,0.9999131574339907,0.052034004277372856,-0.9478791531566179,0.32690392402192747
r=4.0,rbf(gamma=1.9386183878958314),Reduced Rank,1,1.0000002764987577,0.05203749155170569,-0.947962784947052,0.7051732600141319
r=4.0,rbf(gamma=3.877236775791663),Reduced Rank,1,0.9999984470508838,0.023271840947890227,-0.9767266061029936,0.49691768748694837
r=4.0,rbf(gamma=7.754473551583326),Reduced Rank,1,0.999928115114543,0.02327058190512777,-0.9766575332094153,0.32830766220574753
r=4.0,rbf(gamma=1.9226797265909632),Reduced Rank,2,1.000000083257974,0.06981561071504727,-0.9301844725429268,0.7466607282227328
r=4.0,rbf(gamma=3.8453594531819264),Reduced Rank,2,0.9999976608866348,0.02327182687441986,-0.9767258340122149,0.51235329807795
r=4.0,rbf(gamma=7.690718906363853),Reduced Rank,2,0.999928444991517,0.02327058781039969,-0.9766578571811173,0.3327371554952407
r=4.0,rbf(gamma=1.8433495171678558),Reduced Rank,3,0.9999999448014317,0.06981560327933384,-0.9301843415220978,0.7857021193864574
r=4.0,rbf(gamma=3.6866990343357116),Reduced Rank,3,0.9999971153478151,0.052037365014528304,-0.9479597503332868,0.5394576752127872
r=4.0,rbf(gamma=7.373398068671423),Reduced Rank,3,0.9999326255552288,0.023270662648499696,-0.976661962906729,0.3463237550639614
r=4.0,rbf(gamma=1.9330961511108442),Reduced Rank,4,0.9999999116274404,0.08390791034249646,-0.916092001284944,0.8604745050011885
r=4.0,rbf(gamma=3.8661923022216884),Reduced Rank,4,0.9999960132424328,0.05203732089853807,-0.9479586923438947,0.5245126250634641
r=4.0,rbf(gamma=7.732384604443377),Reduced Rank,4,0.9999159607598321,0.052034116491229514,-0.9478818442686027,0.3519458780048728
