kind,kernel,method,trial,spec_radius,ps_radius,ps_margin,henrici
omega=0.0,rbf(gamma=0.08323095935390691),PCR,0,0.9997536660093514,0.9708415236097656,-0.02891214239958584,0.03479712600489101
omega=0.0,rbf(gamma=0.16646191870781382),PCR,0,0.9993332121241786,0.9705274686459953,-0.02880574347818332,0.028002714101461254
omega=0.0,rbf(gamma=0.33292383741562764),PCR,0,0.9984974945987495,0.9699032355340507,-0.028594259064698813,0.02308197120530593
omega=0.0,rbf(gamma=0.07374374677635934),PCR,1,0.9999838973580271,0.9999838973580271,0.0,0.03106326639581818
omega=0.0,rbf(gamma=0.14748749355271867),PCR,1,0.9999352142541587,0.9999352142541587,0.0,0.025199161099081296
omega=0.0,rbf(gamma=0.29497498710543735),PCR,1,0.9997132190958649,0.9997132190958649,0.0,0.01831715350973405
omega=0.0,rbf(gamma=0.1298580437617177),PCR,2,0.9998617438550305,0.9998617438550305,0.0,0.038242314614816225
omega=0.0,rbf(gamma=0.2597160875234354),PCR,2,0.9996199660323637,0.9996199660323637,0.0,0.028409989479819105
omega=0.0,rbf(gamma=0.5194321750468708),PCR,2,0.9990210073505034,0.9990210073505034,0.0,0.020706601321897194
omega=0.0,rbf(gamma=0.08181156031504609),PCR,3,0.999987721979545,0.999987721979545,0.0,0.03147205767129988
omega=0.0,rbf(gamma=0.16362312063009218),PCR,3,0.9999043673498683,0.9999043673498683,0.0,0.027168523898403636
omega=0.0,rbf(gamma=0.32724624126018437),PCR,3,0.9995260797706575,0.9995260797706575,0.0,0.021364262111354147
omega=0.0,rbf(gamma=0.11214473130095041),PCR,4,0.9996527875033157,0.9996527875033157,0.0,0.024967750292745935
omega=0.0,rbf(gamma=0.22428946260190083),PCR,4,0.9990844121750196,0.9990844121750196,0.0,0.021276394599701806
omega=0.0,rbf(gamma=0.44857892520380166),PCR,4,0.9978584816288504,0.9978584816288504,0.0,0.016639214026811212
omega=0.0,rbf(gamma=0.08323095935390691),Reduced Rank,0,0.9997536660093514,0.9708415236097656,-0.02891214239958584,0.03479712600489101
omega=0.0,rbf(gamma=0.16646191870781382),Reduced Rank,0,0.9993332121241786,0.9705274686459953,-0.02880574347818332,0.028002714101461254
omega=0.0,rbf(gamma=0.33292383741562764),Reduced Rank,0,0.9984974945987495,0.9699032355340507,-0.028594259064698813,0.02308197120530593
omega=0.0,rbf(gamma=0.07374374677635934),Reduced Rank,1,0.9999838973580271,0.9999838973580271,0.0,0.03106326639581818
omega=0.0,rbf(gamma=0.14748749355271867),Reduced Rank,1,0.9999352142541587,0.9999352142541587,0.0,0.025199161099081296
omega=0.0,rbf(gamma=0.29497498710543735),Reduced Rank,1,0.9997132190958649,0.9997132190958649,0.0,0.01831715350973405
omega=0.0,rbf(gamma=0.1298580437617177),Reduced Rank,2,0.9998617438550305,0.9998617438550305,0.0,0.038242314614816225
omega=0.0,rbf(gamma=0.2597160875234354),Reduced Rank,2,0.9996199660323637,0.9996199660323637,0.0,0.028409989479819105
omega=0.0,rbf(gamma=0.5194321750468708),Reduced Rank,2,0.9990210073505034,0.9990210073505034,0.0,0.020706601321897194
omega=0.0,rbf(gamma=0.08181156031504609),Reduced Rank,3,0.999987721979545,0.999987721979545,0.0,0.03147205767129988
omega=0.0,rbf(gamma=0.16362312063009218),Reduced Rank,3,0.9999043673498683,0.9999043673498683,0.0,0.027168523898403636
omega=0.0,rbf(gamma=0.32724624126018437),Reduced Rank,3,0.9995260797706575,0.9995260797706575,0.0,0.021364262111354147
omega=0.0,rbf(gamma=0.11214473130095041),Reduced Rank,4,0.9996527875033157,0.9996527875033157,0.0,0.024967750292745935
omega=0.0,rbf(gamma=0.22428946260190083),Reduced Rank,4,0.9990844121750196,0.9990844121750196,0.0,0.021276394599701806
omega=0.0,rbf(gamma=0.44857892520380166),Reduced Rank,4,0.9978584816288504,0.9978584816288504,0.0,0.016639214026811212
omega=0.5,rbf(gamma=0.07145200040939104),PCR,0,0.9999521579671846,0.9709897857303555,-0.02896237223682907,0.04576942116385357
omega=0.5,rbf(gamma=0.14290400081878207),PCR,0,0.99980656997325,0.99980656997325,0.0,0.03810190226331031
omega=0.5,rbf(gamma=0.28580800163756415),PCR,0,0.9993028802936658,0.9993028802936658,0.0,0.030838252872132377
omega=0.5,rbf(gamma=0.1240826445322734),PCR,1,0.9998006955684171,0.9708766519959916,-0.028924043572425506,0.03681413324567858
omega=0.5,rbf(gamma=0.2481652890645468),PCR,1,0.9993782033393962,0.9705610745061466,-0.028817128833249606,0.030372213872756695
omega=0.5,rbf(gamma=0.4963305781290936),PCR,1,0.99799798107708,0.99799798107708,0.0,0.021408210162312855
omega=0.5,rbf(gamma=0.11584478269184281),PCR,2,0.9996984522722494,0.9708002821114308,-0.028898170160818637,0.02791647848152434
